id,type,description,unit_id,title
10010101,201,"",100101,"획득 연출 1"
10010102,101,"",100101,"인연 랭크 연출 1"
10010103,102,"",100101,"인연 랭크 연출 2"
10010104,103,"",100101,"인연 랭크 연출 3"
10010105,104,"",100101,"인연 랭크 연출 4"
10010106,105,"",100101,"인연 랭크 연출 5"
10010107,106,"",100101,"인연 랭크 연출 6"
10010108,107,"",100101,"인연 랭크 연출 7"
10010109,202,"",100101,"★6 재능 개화 연출"
10010110,108,"",100101,"인연 랭크 연출 8"
10010111,109,"",100101,"인연 랭크 연출 9"
10010112,110,"",100101,"인연 랭크 연출 10"
10010113,111,"",100101,"인연 랭크 연출 11"
10020101,201,"",100201,"획득 연출 1"
10020102,101,"",100201,"인연 랭크 연출 1"
10020103,102,"",100201,"인연 랭크 연출 2"
10020104,103,"",100201,"인연 랭크 연출 3"
10020105,104,"",100201,"인연 랭크 연출 4"
10020106,105,"",100201,"인연 랭크 연출 5"
10020107,106,"",100201,"인연 랭크 연출 6"
10020108,107,"",100201,"인연 랭크 연출 7"
10020109,202,"",100201,"★6 재능 개화 연출"
10020110,108,"",100201,"인연 랭크 연출 8"
10020111,109,"",100201,"인연 랭크 연출 9"
10020112,110,"",100201,"인연 랭크 연출 10"
10020113,111,"",100201,"인연 랭크 연출 11"
10030101,201,"",100301,"획득 연출 1"
10030102,101,"",100301,"인연 랭크 연출 1"
10030103,102,"",100301,"인연 랭크 연출 2"
10030104,103,"",100301,"인연 랭크 연출 3"
10030105,104,"",100301,"인연 랭크 연출 4"
10030106,105,"",100301,"인연 랭크 연출 5"
10030107,106,"",100301,"인연 랭크 연출 6"
10030108,107,"",100301,"인연 랭크 연출 7"
10030109,202,"",100301,"★6 재능 개화 연출"
10030110,108,"",100301,"인연 랭크 연출 8"
10030111,109,"",100301,"인연 랭크 연출 9"
10030112,110,"",100301,"인연 랭크 연출 10"
10030113,111,"",100301,"인연 랭크 연출 11"
10040101,201,"",100401,"획득 연출 1"
10040102,101,"",100401,"인연 랭크 연출 1"
10040103,102,"",100401,"인연 랭크 연출 2"
10040104,103,"",100401,"인연 랭크 연출 3"
10040105,104,"",100401,"인연 랭크 연출 4"
10040106,105,"",100401,"인연 랭크 연출 5"
