reward_type_5,reward_count_1,reward_count_4,reward_id_2,reward_id_3,reward_id_1,reward_count_2,sjr_score,reward_type_4,id,reward_id_5,reward_id_4,reward_count_3,reward_type_1,mission_detail,reward_type_2,reward_count_5,reward_type_3
0,5000,0,0,0,94002,0,20000,0,1,0,0,0,12,"스코어를 누적 20,000점 획득하자",0,0,0
0,10000,0,0,0,94002,0,40000,0,2,0,0,0,12,"스코어를 누적 40,000점 획득하자",0,0,0
0,15000,0,0,0,94002,0,60000,0,3,0,0,0,12,"스코어를 누적 60,000점 획득하자",0,0,0
0,20000,0,0,0,94002,0,80000,0,4,0,0,0,12,"스코어를 누적 80,000점 획득하자",0,0,0
0,50,0,23001,0,91002,5,100000,0,5,0,0,0,8,"스코어를 누적 100,000점 획득하자",2,0,0
0,25000,0,0,0,94002,0,120000,0,6,0,0,0,12,"스코어를 누적 120,000점 획득하자",0,0,0
0,30000,0,0,0,94002,0,140000,0,7,0,0,0,12,"스코어를 누적 140,000점 획득하자",0,0,0
0,35000,0,0,0,94002,0,160000,0,8,0,0,0,12,"스코어를 누적 160,000점 획득하자",0,0,0
0,40000,0,0,0,94002,0,180000,0,9,0,0,0,12,"스코어를 누적 180,000점 획득하자",0,0,0
0,50,0,23001,0,91002,5,200000,0,10,0,0,0,8,"스코어를 누적 200,000점 획득하자",2,0,0
0,55000,0,0,0,94002,0,220000,0,11,0,0,0,12,"스코어를 누적 220,000점 획득하자",0,0,0
0,35000,0,0,0,94002,0,240000,0,12,0,0,0,12,"스코어를 누적 240,000점 획득하자",0,0,0
0,40000,0,0,0,94002,0,260000,0,13,0,0,0,12,"스코어를 누적 260,000점 획득하자",0,0,0
0,45000,0,0,0,94002,0,280000,0,14,0,0,0,12,"스코어를 누적 280,000점 획득하자",0,0,0
0,150,0,23001,0,91002,10,300000,0,15,0,0,0,8,"스코어를 누적 300,000점 획득하자",2,0,0
