description,id,name,icon_type
"마법 공격 데미지 (소) 증가 / 물리 공격을 하는 대상이 행동할 때 그 대상의 최대 HP에 따라서 최대 99999 비율 데미지",137,"계뢰",2017
"일정 시간이 경과할 때마다 적과 아군 전체의 TP (중) 회복",146,"백화요란",2017
"일정 시간이 경과할 때마다 적과 아군 전체에 최대 HP에 따른 최대 20만의 비율 데미지를 입힌다. 부여된 지속적 데미지 상승",147,"염천열일",2017
"일정 시간이 경과할 때마다 적과 아군 전체의 물리 공격력・마법 공격력・물리 방어력・마법 방어력을 증가. 이 효과의 효과량은 적, 아군을 합친 수에 따라 증가",148,"추고마비",2017
"적과 아군 전체의 행동 속도 (소) 감소. 이 스킬의 효과는 다른 행동 속도 변화 스킬과 중복된다. 일정 시간이 경과할 때마다, 초기값보다 행동 속도가 낮은 상태의 캐릭터에게 동결 상태 부여",149,"한기늠렬",2017
"마법 공격 데미지 (소) 감소.",162,"방마진",2017
"일정 시간이 경과할 때마다 적 전체에 최대 HP에 따른 마법 비율 데미지를 부여. 캐릭터의 HP가 50% 미만일 경우, 마비 상태를 부여. 이 효과에 의한 데미지로는 TP가 회복되지 않는다. 이 효과의 상태 이상은 데미지를 무효화해도 부여됨",164,"뇌운",2017
"일정 시간이 경과할 때마다 적 전체 넉백",169,"폭풍",2017
"일정 시간이 경과할 때마다 적 전체의 행동 속도를 전투 종료까지 (소) 감소. 물리 공격력과 마법 공격력을 전투가 끝날 때까지 (소) 감소",170,"호우",2017
"물리 공격 크리티컬 시 데미지 (소) 증가",175,"절빙",2017
"일정 시간이 경과할 때마다 적 전체에 최대 HP에 따른 마법 비율 데미지를 부여. 이 효과에 의한 데미지로는 TP가 회복되지 않는다.",186,"뇌운",2017
