id,unit_id,use_type,voice_id,face_id,change_time,change_face,description
1001001,100101,1,1,1,4.0,2,"모두가 웃어준다면\n나도 웃을 수 있어!\n그러니까 자, 스마일 스마일!"
1001002,100101,1,2,1,3.0,2,"어려울 땐 서로 도와야지!\n무슨 일이 있거든 말해!\n도울 수 있는 일이 있을 테니까!"
1001003,100101,1,3,1,7.5,2,"언제든 건강이 최고!\n지쳤을 땐 푹 쉬어야해!\n난… 아직 괜찮은걸 "
1001004,100101,1,4,5,6.0,2,"실은 말이지… 같이 있으면\n무척 즐거워!\n에헤헤… 고마워♪"
1001005,100101,1,5,4,6.0,6,"뭐랄까… 가끔\n가슴 한가운데가 뜨거워져\n혹시 감기라도 걸린 걸까?!"
1001006,100131,1,1,1,0.0,1,"강해질 거야…!\n나는 모두와 함께…\n항상 웃고 싶으니까! "
1001007,100131,1,2,1,0.0,1,"상처투성이가 돼도 괜찮아!\n기댈 수 있는 사람이 있으니까…\n몇 번이든 일어설 거야!"
1001008,100131,1,3,1,0.0,1,"기사 군이 옆에 있어 주면\n기운이 100만 배는 강해진 느낌!\n… 과장이 좀 심했나?"
1001009,100131,1,4,1,0.0,1,"들려… 기사 군의 목소리가\n아무리 떨어져 있어도\n난 알 수 있어!"
1001010,100131,1,5,1,0.0,1,"누구를 상대해도\n지금은 질 것 같지 않아… !\n기댈 수 있는 그 사람이 있으니까!"
1001011,100101,2,6,1,11.3,2,"생일 축하해, 기사 군!\n선물은 뭐가 좋아?\n밥? 장비? 아니면…\n그렇지! 수행하는 걸 도와줄게!"
1001012,100131,2,6,1,0.0,1,"생일 축하해!\n자, 이거! 고양이 부적!\n내가 옆에 없을 때는\n분명히 대신해서 지켜줄 거야!"
1001013,100161,1,1,1,0.0,1,"으냐냐냐냐~!\n기사 군과 함께라면\n난 무적이지!\n간다~!"
1001014,100161,1,2,1,0.0,1,"어떤 위기라도 이제껏\n기사 군이랑 극복해왔어!\n함께 라면 앞으로도\n난 지지 않아~!"
1001015,100161,1,3,1,0.0,1,"지키고 싶은 미소가 있으니까\n난 싸울 수 있어!\n그러니까 기사 군,\n내 곁에 있어줘…!"
1001016,100161,1,4,1,0.0,1,"더욱더 두근거림을 느끼고 싶어!\n잘 모르겠지만\n그렇게 하면 기사 군과 뭐든\n할 수 있을 거 같으니까!"
1001017,100161,1,5,1,0.0,1,"나, 이렇게 강했었나?\n분명 기사 군 덕분이겠지!\n그러니까 계속 곁에 있어 줄래?\n왜, 왜냐면, 강해지고 싶으니까…"
1002001,100201,1,1,4,6.0,5,"저, 저기…\n내가 대화 상대여도\n정말 괜찮겠어?\n… 그래 고마워… !"
1002002,100201,1,2,2,4.0,5,"전투에서\n치료와 지원은 맡겨줘!\n공격은 저기…\n같이 힘내줄 수… 있지?"
1002003,100201,1,3,4,4.0,8,"부탁이야…\n그렇게 빤히 보지 말아 줘…\n부, 부끄러우니까… 아으으… "
1002004,100201,1,4,1,4.0,2,"배 안 고파?\n밥 먹고 싶으면 말해\n간단한 거면 금방 만들 수 있으니까"
1002005,100201,1,5,1,3.0,5,"뭐라도 도와줄까?\n어디 가는 거라면 나도\n데려가 줬으면 좋겠는데… "
1002006,100231,1,1,1,0.0,1,"내가 할 수 있는 일이 있다면\n뭐든지 말해\n살짝 다친 거면\n금방 고칠 수 있어"
1002007,100231,1,2,1,0.0,1,"기사 군을 위해서라면\n난… 더 많이\n노력할 거야!"
1002008,100231,1,3,1,0.0,1,"치유의 빛을…!\n보는 것만으로 치유된다니\n그런… 어쩐지\n부끄러워지는걸… "
1002009,100231,1,4,1,0.0,1,"어떤 마법을 배워볼까…\n사랑이 이뤄지는 마법…\n그런 게 있을 리 없잖아!"
1002010,100231,1,5,1,0.0,1,"새롭게 익힌 마법은 말이지\n방염, 방한, 내열… 그리고\n목구멍에 생선 가시가 찔리지 않는\n마법… 비밀이야?"
1002011,100201,2,6,1,7.9,5,"기사 군, 생일 축하해\n저기… 이거 생일 케이크!\n그… 괜찮으면 먹어봐!\n그리고… 앞으로도 잘 부탁해!"
1002012,100231,2,6,1,0.0,1,"생일 축하해, 기사 군\n오늘은 케이크 이외에도\n다양한 요리를 준비했으니까\n다 함께 축하하자!"
1002013,100261,1,1,1,0.0,1,"기사 군이, 소중한 사람이\n다쳤을 때는 치료해주고 싶어…\n그게 지금의 내 소원"
1002014,100261,1,2,1,0.0,1,"기사 군, 아픈 곳은 없어?\n상처는 제대로 나았어?\n…다행이다. 이제 괜찮겠지"
1002015,100261,1,3,1,0.0,1,"부탁이야, 기사 군. 앞으로도\n나한테 용기를 줘…\n더욱 강하고, 다정해지기 위해서!"
1002016,100261,1,4,1,0.0,1,"마음이 가진 강한 힘이라면 나 역시…\n하지만 감정만으로는 안 되겠지\n확실히 행동으로 나타내지 않으면!"
1002017,100261,1,5,1,0.0,1,"기사 군을 좋아하는 마음이\n늘 나한테 용기를 줘…\n기사 군!? 방금 들었어…!?"
1003001,100301,1,1,1,4.0,2,"목적을 이루기 위해서라면\n어떠한 노력도 한다\n너도 그런 마음가짐을 가졌으면 좋겠어"
1003002,100301,1,2,2,4.5,6,"다음 수행 예정에 대해\n의논하고 싶은데, 괜찮아?\n장소는 어디로 할까… "
1003003,100301,1,3,1,4.5,2,"강해지고 싶다…\n그 마음만 잊지 않는다면\n너도 반드시 강해질 수 있어"
1003004,100301,1,4,6,2.0,2,"어째서일까…\n너와 검을 맞대고 있으면\n춤추고 있는 것 같아"
1003005,100301,1,5,1,4.5,2,"다음에 같이 낚시하러 가지 않을래?\n혼자 가도 지루하진 않지만\n너랑 같이 가고 싶어"
1003006,100331,1,1,1,0.0,1,"자, 자세를 잡아!\n나한테 한 방 먹인다고 했잖아?\n느긋하게 있을 시간 없어!"
1003007,100331,1,2,1,0.0,1,"결코 포기하지 않는 그 눈빛…\n역시 넌 대단해\n내 안목이 맞았어"
1003008,100331,1,3,1,0.0,1,"넌 점점 강해질 거야\n이 정도가 한계일 리 없어\n… 그걸 증명해 봐"
1003009,100331,1,4,1,0.0,1,"(이상한 기분…\n계속하고 싶지만\n그럴 수는 없겠지)"
