id,event_id,quiz_id,condition_unit_id,condition_mission_id,condition_time_from,condition_quest_id,condition_quiz_id
1,10012,1001201,0,0,0,10012103,0
2,10012,1001202,0,0,0,10012107,0
3,10012,1001203,0,0,0,10012109,0
4,10012,1001204,0,0,0,10012114,1001201
5,10012,1001204,0,0,0,10012114,1001202
6,10012,1001204,0,0,0,10012114,1001203
7,20012,2001201,0,0,0,20012103,0
8,20012,2001202,0,0,0,20012107,0
9,20012,2001203,0,0,0,20012109,0
10,20012,2001204,0,0,0,20012114,2001201
11,20012,2001204,0,0,0,20012114,2001202
12,20012,2001204,0,0,0,20012114,2001203
