reward_num,id,mission_reward_id,reward_id,reward_type
1000,320001011,32000101,25011,2
1000,320001012,32000101,25012,2
1000,320001021,32000102,25013,2
1000,320001022,32000102,25014,2
1000,320001031,32000103,91002,8
3000000,320001032,32000103,94002,12
1000,320001033,32000103,25015,2
1000,320001034,32000103,25021,2
1000,320001041,32000104,25013,2
1000,320001042,32000104,25014,2
1000,320001051,32000105,25012,2
1000,320001052,32000105,25015,2
1000,320001061,32000106,91002,8
3000000,320001062,32000106,94002,12
1000,320001063,32000106,25011,2
1000,320001064,32000106,25021,2
1000,320001071,32000107,25014,2
1000,320001072,32000107,25015,2
1000,320001081,32000108,25011,2
1000,320001082,32000108,25013,2
1000,320001091,32000109,91002,8
3000000,320001092,32000109,94002,12
1000,320001093,32000109,25012,2
1000,320001094,32000109,25021,2
3000,320001101,32000110,25011,2
3000,320001102,32000110,25012,2
3000,320001103,32000110,25013,2
3000,320001104,32000110,25014,2
3000,320001105,32000110,25015,2
3000,320001111,32000111,25011,2
3000,320001112,32000111,25012,2
3000,320001113,32000111,25013,2
3000,320001114,32000111,25014,2
3000,320001115,32000111,25015,2
3000,320001121,32000112,25011,2
3000,320001122,32000112,25012,2
3000,320001123,32000112,25013,2
3000,320001124,32000112,25014,2
3000,320001125,32000112,25015,2
1,320001131,32000113,21953,2
2000,320001132,32000113,25021,2
