row_14,row_10,row_40,row_3,row_32,row_6,row_59,row_2,row_13,row_39,row_41,row_35,row_15,row_58,row_12,row_5,row_30,row_24,row_47,row_34,row_23,row_25,row_48,row_46,row_43,row_9,row_27,row_4,row_19,row_36,row_54,row_49,row_17,row_20,row_60,row_44,row_57,row_50,row_33,row_28,row_1,row_7,row_16,row_53,id,row_51,row_42,row_56,row_31,row_45,row_37,lane,row_52,row_18,row_8,frame_id,row_26,row_29,row_11,row_38,row_55,row_21,row_22
0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
0,0,102,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,303,0,0,0,303,303,303,0,0,0,0,0,303,303,0,0,0,303,0,303,0,0,0,0,401,303,3,303,303,0,0,303,0,3,303,0,0,1,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
0,0,102,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,405,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,8,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0
0,0,101,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,13,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0
0,0,102,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0
0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0
0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,402,0,0,0,0,16,0,0,0,0,0,0,1,0,0,401,4,0,0,0,0,0,0,0
0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
0,0,101,0,0,0,301,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,301,0,0,0,0,301,301,0,0,0,0,0,301,18,301,0,301,0,0,0,3,301,0,0,4,0,0,0,0,301,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,5,402,402,0,4,0,0,0,0,0,0,0
