ticket_id,jewel_store_id,end_time,start_time,icon_id
27001,88,"2021/04/01 4:59:59","2021/03/16 15:00:00",27001
27002,93,"2022/04/02 14:59:59","2022/03/15 15:00:00",27001
27003,72,"2022/10/04 14:59:59","2022/09/13 15:00:00",27001
27004,73,"2023/02/20 14:59:59","2023/01/30 15:00:00",27001
27005,64,"2023/04/03 14:59:59","2023/03/16 15:00:00",27005
27006,65,"2023/10/05 14:59:59","2023/09/14 15:00:00",27001
27007,66,"2024/02/20 14:59:59","2024/01/30 15:00:00",27001
27008,67,"2024/04/01 14:59:59","2024/03/14 15:00:00",27005
27009,68,"2024/06/22 14:59:59","2024/05/28 15:00:00",27009
27010,69,"2024/10/01 14:59:59","2024/09/11 15:00:00",27001
27012,362,"2025/01/21 14:59:59","2024/12/31 15:00:00",27012
27013,363,"2025/04/01 14:59:59","2025/03/13 8:00:00",27005
27014,364,"2025/06/28 14:59:59","2025/05/29 14:00:00",27012
27015,365,"2025/10/11 14:59:59","2025/09/15 14:00:00",27012
27016,367,"2025/10/19 14:59:59","2025/10/03 15:00:00",27012
27017,366,"2026/01/24 14:59:59","2025/12/31 14:00:00",27012
