vertical_still_flg,still_group_id,group_id,mypage_type,still_name,still_id,scroll_direction
0,0,10001,1,Menu01scene1,9000000,0
0,0,10001,1,Menu01scene2,9000001,0
0,0,10001,1,Menu01scene3,9000002,0
0,0,10001,1,Menu01scene4,9000003,0
0,0,10001,1,Menu02scene1,9000004,0
0,0,10001,1,Menu02scene2,9000005,0
0,0,10001,1,Menu02scene3,9000006,0
0,0,10001,1,Menu02scene4,9000007,0
0,0,10001,1,Menu02scene5,9000008,0
0,0,10001,1,Menu02scene6,9000009,0
0,0,10001,1,Menu03scene1,9000010,0
0,0,10001,1,Menu03scene2,9000011,0
0,0,10001,1,Menu03scene3,9000012,0
0,0,10001,1,Menu03scene4,9000013,0
0,0,10001,1,Menu03scene5,9000014,0
0,0,10001,1,Menu03scene6,9000015,0
0,0,10001,1,OPscene1,9000016,0
0,0,10001,1,OPscene2,9000017,0
0,0,10001,1,OPscene3,9000018,0
0,0,10001,1,OPscene4,9000019,0
0,0,10001,1,OPscene5,9000020,0
0,0,10001,1,OPscene6,9000021,0
0,0,10001,1,"애니메이션 오리지널 콧코로 커스텀 마이 페이지",9000022,0
0,0,10002,1,Menu04scene1,9000023,0
0,0,10002,1,Menu04scene2,9000024,0
0,0,10002,1,Menu04scene3,9000025,0
0,0,10002,1,Menu04scene4,9000026,0
0,0,10002,1,Menu04scene5,9000027,0
0,0,10002,1,Menu04scene6,9000028,0
0,0,10002,1,Menu05scene1,9000029,0
0,0,10002,1,Menu05scene2,9000030,0
0,0,10002,1,Menu05scene3,9000031,0
0,0,10002,1,Menu05scene4,9000032,0
0,0,10002,1,Menu05scene5,9000033,0
0,0,10002,1,Menu05scene6,9000034,0
0,0,10002,1,Menu06scene1,9000035,0
0,0,10002,1,Menu06scene2,9000036,0
0,0,10002,1,Menu06scene3,9000037,0
0,0,10002,1,Menu06scene4,9000038,0
0,0,10002,1,Menu06scene5,9000039,0
0,0,10002,1,Menu06scene6,9000040,0
0,0,10002,1,"애니메이션 오리지널 캬루 커스텀 마이 페이지",9000041,0
0,0,10003,1,Menu07scene1,9000042,0
0,0,10003,1,Menu07scene2,9000043,0
0,0,10003,1,Menu07scene3,9000044,0
0,0,10003,1,Menu07scene4,9000045,0
0,0,10003,1,Menu07scene5,9000046,0
0,0,10003,1,Menu07scene6,9000047,0
0,0,10003,1,Menu08scene1,9000048,0
0,0,10003,1,Menu08scene2,9000049,0
0,0,10003,1,Menu08scene3,9000050,0
0,0,10003,1,Menu08scene4,9000051,0
0,0,10003,1,Menu08scene5,9000052,0
0,0,10003,1,Menu08scene6,9000053,0
0,0,10003,1,Menu09scene1,9000054,0
0,0,10003,1,Menu09scene2,9000055,0
0,0,10003,1,Menu09scene3,9000056,0
0,0,10003,1,Menu09scene4,9000057,0
0,0,10003,1,Menu09scene5,9000058,0
0,0,10003,1,Menu09scene6,9000059,0
0,0,10003,1,"애니메이션 오리지널 커스텀 마이 페이지",9000060,0
0,0,10004,1,Menu10scene1,9000061,0
0,0,10004,1,Menu10scene2,9000062,0
0,0,10004,1,Menu10scene3,9000063,0
0,0,10004,1,Menu10scene4,9000064,0
0,0,10004,1,Menu10scene5,9000065,0
0,0,10004,1,Menu10scene6,9000066,0
0,0,10004,1,Menu11scene1,9000067,0
0,0,10004,1,Menu11scene2,9000068,0
0,0,10004,1,Menu11scene3,9000069,0
0,0,10004,1,Menu11scene4,9000070,0
0,0,10004,1,Menu11scene5,9000071,0
0,0,10004,1,Menu11scene6,9000072,0
0,0,10004,1,Menu12scene1,9000073,0
0,0,10004,1,Menu12scene2,9000074,0
0,0,10004,1,Menu12scene3,9000075,0
0,0,10004,1,Menu12scene4,9000076,0
0,0,10004,1,Menu12scene5,9000077,0
0,0,10004,1,Menu12scene6,9000078,0
0,0,10004,1,Menu13scene1,9000079,0
0,0,10004,1,Menu13scene2,9000080,0
0,0,10004,1,Menu13scene3,9000081,0
0,0,10004,1,Menu13scene4,9000082,0
0,0,10004,1,Menu13scene5,9000083,0
0,0,10004,1,Menu13scene6,9000084,0
0,0,10004,1,EDscene1,9000085,0
0,0,10004,1,EDscene2,9000086,0
0,0,10004,1,EDscene3,9000087,0
0,0,10004,1,EDscene4,9000088,0
0,0,10004,1,EDscene5,9000089,0
0,0,10004,1,EDscene6,9000090,0
0,0,10004,1,"애니메이션 오리지널 페코린느 커스텀 마이 페이지",9000091,0
0,0,20001,1,"3주년 기념 커스텀 마이 페이지 1",9000092,0
0,0,20001,1,"3주년 기념 커스텀 마이 페이지 2",9000093,0
0,0,20001,1,"3주년 기념 커스텀 마이 페이지 3",9000094,0
0,0,20002,1,"공식 아트웍스 Vol.1 발매 기념 커스텀 마이 페이지",9000095,0
0,0,20002,1,"공식 아트웍스 Vol.2 발매 기념 커스텀 마이 페이지",9000096,0
0,0,20002,1,"공식 아트웍스 Vol.3 발매 기념 커스텀 마이 페이지",9000097,0
0,0,20003,1,"3.5주년 기념 커스텀 마이 페이지 1",9000098,0
0,0,20003,1,"3.5주년 기념 커스텀 마이 페이지 2",9000099,0
0,0,30001,1,"미야코's 키친 궁극으로의 길",9000100,0
0,0,20004,1,"4주년 기념 커스텀 마이 페이지",9000101,0
0,0,10005,1,Menu1NEXT,9000102,0
0,0,10005,1,Menu2NEXT,9000103,0
0,0,10005,1,Menu3NEXT,9000104,0
0,0,10005,1,Menu1scene1,9000105,0
0,0,10005,1,Menu1scene2,9000106,0
0,0,10005,1,Menu1scene3,9000107,0
0,0,10005,1,Menu1scene4,9000108,0
0,0,10005,1,Menu1scene5,9000109,0
0,0,10005,1,Menu1scene6,9000110,0
0,0,10005,1,Menu2scene1,9000111,0
0,0,10005,1,Menu2scene2,9000112,0
0,0,10005,1,Menu2scene3,9000113,0
0,0,10005,1,Menu2scene4,9000114,0
0,0,10005,1,Menu2scene5,9000115,0
