story_phase,condition_locked_story_id,title,sub_title,condition_unlocked_story_id,drama_id
1,13,"특별강좌 프레젠테이션 리포트","치에룬 임팩트",12,101
1,14,"특별강좌 프레젠테이션 리포트","클로에의 높은 식견",13,102
1,22,"특별강좌 프레젠테이션 리포트","떨쳐라 선배 티",14,103
2,23,"메르쿠리우스 재단 활동 일지","아키노의 리더십",22,201
2,24,"메르쿠리우스 재단 활동 일지","타올라라 붕어빵의 얼",23,202
2,25,"메르쿠리우스 재단 활동 일지","한잔하면 불가능 없음",24,203
2,32,"메르쿠리우스 재단 활동 일지","미후유의 설교 1일 코스",25,204
3,33,"유니의 메모장","맥주와 생과자의 철학",32,301
3,34,"유니의 메모장","호랑이 굴에 숨어들어야",33,302
3,0,"유니의 메모장","동작 테스트와 파멸의 유혹",34,303
