condition_unlocked_story_id,title,sub_title,story_phase,drama_id,condition_locked_story_id
12,"특별강좌 프레젠테이션 리포트","치에룬 임팩트",1,101,13
13,"특별강좌 프레젠테이션 리포트","클로에의 높은 식견",1,102,14
14,"특별강좌 프레젠테이션 리포트","떨쳐라 선배 티",1,103,22
22,"메르쿠리우스 재단 활동 일지","아키노의 리더십",2,201,23
23,"메르쿠리우스 재단 활동 일지","타올라라 붕어빵의 얼",2,202,24
24,"메르쿠리우스 재단 활동 일지","한잔하면 불가능 없음",2,203,25
25,"메르쿠리우스 재단 활동 일지","미후유의 설교 1일 코스",2,204,32
32,"유니의 메모장","맥주와 생과자의 철학",3,301,33
33,"유니의 메모장","호랑이 굴에 숨어들어야",3,302,34
34,"유니의 메모장","동작 테스트와 파멸의 유혹",3,303,0
