title,condition_locked_story_id,sub_title,condition_unlocked_story_id,drama_id,story_phase
"특별강좌 프레젠테이션 리포트",13,"치에룬 임팩트",12,101,1
"특별강좌 프레젠테이션 리포트",14,"클로에의 높은 식견",13,102,1
"특별강좌 프레젠테이션 리포트",22,"떨쳐라 선배 티",14,103,1
"메르쿠리우스 재단 활동 일지",23,"아키노의 리더십",22,201,2
"메르쿠리우스 재단 활동 일지",24,"타올라라 붕어빵의 얼",23,202,2
"메르쿠리우스 재단 활동 일지",25,"한잔하면 불가능 없음",24,203,2
"메르쿠리우스 재단 활동 일지",32,"미후유의 설교 1일 코스",25,204,2
"유니의 메모장",33,"맥주와 생과자의 철학",32,301,3
"유니의 메모장",34,"호랑이 굴에 숨어들어야",33,302,3
"유니의 메모장",0,"동작 테스트와 파멸의 유혹",34,303,3
