drama_id,sub_title,condition_locked_story_id,story_phase,condition_unlocked_story_id,title
101,"치에룬 임팩트",13,1,12,"특별강좌 프레젠테이션 리포트"
102,"클로에의 높은 식견",14,1,13,"특별강좌 프레젠테이션 리포트"
103,"떨쳐라 선배 티",22,1,14,"특별강좌 프레젠테이션 리포트"
201,"아키노의 리더십",23,2,22,"메르쿠리우스 재단 활동 일지"
202,"타올라라 붕어빵의 얼",24,2,23,"메르쿠리우스 재단 활동 일지"
203,"한잔하면 불가능 없음",25,2,24,"메르쿠리우스 재단 활동 일지"
204,"미후유의 설교 1일 코스",32,2,25,"메르쿠리우스 재단 활동 일지"
301,"맥주와 생과자의 철학",33,3,32,"유니의 메모장"
302,"호랑이 굴에 숨어들어야",34,3,33,"유니의 메모장"
303,"동작 테스트와 파멸의 유혹",0,3,34,"유니의 메모장"
