icon_type,action_4,skill_area_width,description,skill_type,action_3,depend_action_2,depend_action_3,skill_id,depend_action_9,action_8,skill_cast_time,depend_action_8,action_7,name,depend_action_4,action_2,depend_action_10,boss_ub_cool_time,action_10,action_9,depend_action_1,depend_action_7,action_6,depend_action_6,action_5,depend_action_5,action_1
1001,0,0,"전방의 적 1명에게 물리 (대) 데미지 / 자신의 주변 범위 내 적 전체에게 물리 (중) 데미지",0,100100103,100100102,0,1001001,0,0,0.0,0,0,"히요리 러시",0,100100102,0,0.0,0,0,0,0,0,0,0,0,100100101
2001,0,0,"전방의 적 1명에게 물리 (중) 데미지",0,0,0,0,1001002,0,0,1.125,0,0,"캣 스트라이크",0,0,0,0.0,0,0,0,0,0,0,0,0,100100201
2001,0,0,"전방의 적 1명에게 물리 (소) 데미지 / 자신의 물리 공격력 (중) 증가",0,0,0,0,1001003,0,0,1.295,0,0,"캣 콤비네이션",0,100100302,0,0.0,0,0,0,0,0,0,0,0,100100301
1001,0,0,"전방의 적 1명에게 물리 (특대) 데미지 / 자신의 주변 범위 내 적 전체에게 물리 (대) 데미지",0,0,0,0,1001011,0,0,0.0,0,0,"히요리 버닝 러시",0,100101102,0,0.0,0,0,0,0,0,0,0,0,100101101
2001,0,0,"전방의 적 1명에게 물리 (대) 데미지 / 자신의 주변 범위 내 적 전체에게 물리 (소) 데미지",0,0,0,0,1001012,0,0,1.125,0,0,"캣 스트라이크+",0,100101202,0,0.0,0,0,0,0,0,0,0,0,100101201
3001,0,0,"전투 시작 시, 자신의 물리 공격력 (중) 증가",0,0,0,0,1001501,0,0,0.0,0,0,"젤리 파워!",0,0,0,0.0,0,0,0,0,0,0,0,0,100150101
3001,0,0,"전투 시작 시, 자신의 물리 공격력 (대) 증가",0,0,0,0,1001511,0,0,0.0,0,0,"젤리 파워!+",0,0,0,0.0,0,0,0,0,0,0,0,0,100151101
1005,0,0,"아군 전체의 HP (중) 회복",1,0,0,0,1002001,0,0,0.0,0,0,"힐 올",0,0,0,0.0,0,0,0,0,0,0,0,0,100200101
2002,0,0,"전방의 적 1명에게 마법 (중) 데미지",1,0,0,0,1002002,0,0,1.6,0,0,"플라워 샷",0,0,0,0.0,0,0,0,0,0,0,0,0,100200201
2003,0,0,"아군 전체의 물리 방어력 (소) 증가",1,0,0,0,1002003,0,0,1.46,0,0,"플로럴 실드",0,0,0,0.0,0,0,0,0,0,0,0,0,100200301
