mode_change_start_time,start_time,end_time,point_per_stamina,resource_id,clan_battle_id,map_bgm,cost_group_id,release_month,last_clan_battle_id,mode_change_end_time,mode_change_remind_time,cost_group_id_s
"2019/04/12 12:00:00","2019/04/19 15:00:00","2019/05/21 14:59:59",1,1,1001,bgm_M90,1,4,0,"2019/04/17 11:59:59","2019/04/16 11:59:59",2
"2019/05/14 12:00:00","2019/05/21 15:00:00","2019/06/18 14:59:59",1,2,1002,bgm_M97,1,5,1001,"2019/05/19 11:59:59","2019/05/18 11:59:59",2
"2019/06/11 12:00:00","2019/06/18 15:00:00","2019/07/17 14:59:59",1,1,1003,bgm_M104,1,6,1002,"2019/06/16 11:59:59","2019/06/15 11:59:59",2
"2019/07/10 12:00:00","2019/07/17 15:00:00","2019/08/20 14:59:59",1,2,1004,bgm_M115,1,7,1003,"2019/07/15 11:59:59","2019/07/14 11:59:59",2
"2019/08/13 12:00:00","2019/08/20 15:00:00","2019/09/20 14:59:59",1,1,1005,bgm_M119,1,8,1004,"2019/08/18 11:59:59","2019/08/17 11:59:59",2
"2019/09/13 12:00:00","2019/09/20 15:00:00","2019/10/21 14:59:59",1,2,1006,bgm_M132,1,9,1005,"2019/09/18 11:59:59","2019/09/17 11:59:59",2
"2019/10/14 12:00:00","2019/10/21 15:00:00","2019/11/19 14:59:59",1,1,1007,bgm_M139,1,10,1006,"2019/10/19 11:59:59","2019/10/18 11:59:59",2
"2019/11/12 12:00:00","2019/11/19 15:00:00","2019/12/24 14:59:59",1,2,1008,bgm_M166,1,11,1007,"2019/11/17 11:59:59","2019/11/16 11:59:59",2
"2019/12/17 12:00:00","2019/12/24 15:00:00","2020/01/21 14:59:59",1,1,1009,bgm_M175,1,12,1008,"2019/12/22 11:59:59","2019/12/21 11:59:59",2
"2020/01/14 12:00:00","2020/01/21 15:00:00","2020/02/19 14:59:59",1,2,1010,bgm_M181,1,1,1009,"2020/01/19 11:59:59","2020/01/18 11:59:59",2
"2020/02/12 12:00:00","2020/02/19 15:00:00","2020/03/23 14:59:59",1,1,1011,bgm_M186,1,2,1010,"2020/02/17 11:59:59","2020/02/16 11:59:59",2
"2020/03/16 12:00:00","2020/03/23 15:00:00","2020/04/21 14:59:59",1,2,1012,bgm_M205,1,3,1011,"2020/03/21 11:59:59","2020/03/20 11:59:59",2
"2020/04/14 12:00:00","2020/04/21 15:00:00","2020/05/20 4:59:59",1,1,1013,bgm_M90,1,4,1012,"2020/04/19 11:59:59","2020/04/18 11:59:59",2
"2020/05/13 12:00:00","2020/05/20 5:00:00","2020/06/22 4:59:59",1,2,1014,bgm_M97,1,5,1013,"2020/05/18 11:59:59","2020/05/17 11:59:59",2
"2020/06/15 12:00:00","2020/06/22 5:00:00","2020/07/22 4:59:59",1,1,1015,bgm_M104,1,6,1014,"2020/06/20 11:59:59","2020/06/19 11:59:59",2
"2020/07/15 12:00:00","2020/07/22 5:00:00","2020/08/23 4:59:59",1,2,1016,bgm_M115,1,7,1015,"2020/07/20 11:59:59","2020/07/19 11:59:59",2
"2020/08/16 12:00:00","2020/08/23 5:00:00","2020/09/21 4:59:59",1,1,1017,bgm_M119,1,8,1016,"2020/08/21 11:59:59","2020/08/20 11:59:59",2
"2020/09/14 12:00:00","2020/09/21 5:00:00","2020/10/22 4:59:59",1,2,1018,bgm_M132,1,9,1017,"2020/09/19 11:59:59","2020/09/18 11:59:59",2
"2020/10/15 12:00:00","2020/10/22 5:00:00","2020/11/24 4:59:59",1,1,1019,bgm_M139,1,10,1018,"2020/10/20 11:59:59","2020/10/19 11:59:59",2
"2020/11/17 12:00:00","2020/11/24 5:00:00","2020/12/23 4:59:59",1,2,1020,bgm_M166,1,11,1019,"2020/11/22 11:59:59","2020/11/21 11:59:59",2
"2020/12/16 12:00:00","2020/12/23 5:00:00","2021/01/22 4:59:59",1,1,1021,bgm_M175,1,12,1020,"2020/12/21 11:59:59","2020/12/20 11:59:59",2
"2021/01/15 12:00:00","2021/01/22 5:00:00","2021/02/22 4:59:59",1,2,1022,bgm_M181,1,1,1021,"2021/01/20 11:59:59","2021/01/19 11:59:59",2
"2021/02/15 12:00:00","2021/02/22 5:00:00","2021/03/25 4:59:59",1,1,1023,bgm_M186,1,2,1022,"2021/02/20 11:59:59","2021/02/19 11:59:59",2
"2021/03/18 12:00:00","2021/03/25 5:00:00","2021/04/23 4:59:59",1,2,1024,bgm_M205,1,3,1023,"2021/03/23 11:59:59","2021/03/22 11:59:59",2
"2021/04/16 12:00:00","2021/04/23 5:00:00","2021/05/26 4:59:59",1,1,1025,bgm_M90,1,4,1024,"2021/04/21 11:59:59","2021/04/20 11:59:59",2
"2021/05/19 12:00:00","2021/05/26 5:00:00","2021/06/26 4:59:59",1,2,1026,bgm_M97,1,5,1025,"2021/05/24 11:59:59","2021/05/23 11:59:59",2
"2021/06/19 12:00:00","2021/06/26 5:00:00","2021/07/25 4:59:59",1,1,1027,bgm_M104,1,6,1026,"2021/06/24 11:59:59","2021/06/23 11:59:59",2
"2021/07/18 12:00:00","2021/07/25 5:00:00","2021/08/27 4:59:59",1,2,1028,bgm_M115,1,7,1027,"2021/07/23 11:59:59","2021/07/22 11:59:59",2
"2021/08/20 12:00:00","2021/08/27 5:00:00","2021/09/26 4:59:59",1,1,1029,bgm_M119,1,8,1028,"2021/08/25 11:59:59","2021/08/24 11:59:59",2
"2021/09/19 12:00:00","2021/09/26 5:00:00","2021/10/27 4:59:59",1,2,1030,bgm_M132,1,9,1029,"2021/09/24 11:59:59","2021/09/23 11:59:59",2
"2021/10/20 12:00:00","2021/10/27 5:00:00","2021/11/26 4:59:59",1,1,1031,bgm_M139,1,10,1030,"2021/10/25 11:59:59","2021/10/24 11:59:59",2
"2021/11/19 12:00:00","2021/11/26 5:00:00","2021/12/25 4:59:59",1,2,1032,bgm_M166,1,11,1031,"2021/11/24 11:59:59","2021/11/23 11:59:59",2
"2021/12/18 12:00:00","2021/12/25 5:00:00","2022/01/23 4:59:59",1,1,1033,bgm_M175,1,12,1032,"2021/12/23 11:59:59","2021/12/22 11:59:59",2
"2022/01/16 12:00:00","2022/01/23 5:00:00","2022/02/23 4:59:59",1,2,1034,bgm_M181,1,1,1033,"2022/01/21 11:59:59","2022/01/20 11:59:59",2
"2022/02/16 12:00:00","2022/02/23 5:00:00","2022/03/23 4:59:59",1,1,1035,bgm_M186,1,2,1034,"2022/02/21 11:59:59","2022/02/20 11:59:59",2
"2022/03/16 12:00:00","2022/03/23 5:00:00","2022/04/23 4:59:59",1,2,1036,bgm_M205,1,3,1035,"2022/03/21 11:59:59","2022/03/20 11:59:59",2
"2022/04/16 12:00:00","2022/04/23 5:00:00","2022/05/25 4:59:59",1,1,1037,bgm_M90,1,4,1036,"2022/04/21 11:59:59","2022/04/20 11:59:59",2
