group_id,speaker_unit_id,unit_id
20114,118301,180701
20115,118301,180701
20116,118401,180701
20117,118401,180701
20118,118401,180701
20123,120501,180801
20124,120401,180801
20125,120601,180801
20126,120401,180801
20127,120501,180801
20128,120601,180801
30157,120601,180801
20129,121801,180901
20130,121801,180901
20131,121701,180901
20132,121801,180901
20133,121701,180901
20134,121701,180901
20135,121701,180901
20148,124301,181001
20149,124301,181001
20150,124401,181001
20151,124401,181001
20167,128101,181101
20168,128101,181101
20169,128101,181101
20170,128101,181101
20171,128201,181101
20172,128201,181101
20175,128101,181101
