event_id,system_name,tutorial_quest_id,tutorial_chara_index,tutorial_story_id
10053,"신뢰도",10053102,1,6017101
10114,"신뢰도",10114107,1,6114101
10121,"신뢰도",10121102,1,6094101
10124,"신뢰도",10124110,1,6124101
10127,"신뢰도",10127103,1,6100101
10129,"신뢰도",10129106,1,6102101
10131,"신뢰도",10131114,1,6104101
20015,"신뢰도",0,1,0
20017,"신뢰도",0,1,0
20018,"신뢰도",0,1,0
20019,"신뢰도",0,1,0
20020,"신뢰도",0,1,0
20022,"신뢰도",0,1,0
20023,"신뢰도",0,1,0
20024,"신뢰도",0,1,0
20025,"신뢰도",0,1,0
20026,"신뢰도",0,1,0
20028,"신뢰도",0,1,0
20029,"신뢰도",0,1,0
20030,"신뢰도",0,1,0
20031,"신뢰도",0,1,0
20032,"신뢰도",0,1,0
20035,"신뢰도",0,1,0
20037,"신뢰도",0,1,0
20038,"신뢰도",0,1,0
20042,"신뢰도",0,1,0
20043,"신뢰도",0,1,0
20048,"신뢰도",0,1,0
20049,"신뢰도",0,1,0
