clear_reward_group_id,reward_id_4,reward_id_3,reward_type_1,reward_type_2,reward_id_2,reward_num_2,reward_num_4,reward_id_1,reward_type_4,reward_num_1,reward_num_3,reward_type_3,reward_type_5,reward_num_5,reward_id_5
924072001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924072002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924072003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924072101,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072102,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072103,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072104,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
924072201,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072202,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072203,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072204,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
924072301,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072302,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072303,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924072304,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
924082001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924082002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924082003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924082101,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082102,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082103,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082104,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
924082201,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082202,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082203,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082204,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
924082301,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082302,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082303,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924082304,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
924092001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924092002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924092003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924092101,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092102,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092103,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092104,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
924092201,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092202,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092203,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092204,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
924092301,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092302,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092303,0,0,2,0,0,0,0,25102,0,15,0,0,0,0,0
924092304,0,0,8,0,0,0,0,91002,0,100,0,0,0,0,0
