original_event_id,read_condition_sub_story_id,read_condition_story_id,reward_type,reward_id,title,sub_story_id,unlock_condition_sub_story_id,reward_count
10136,0,5136005,8,91002,"훌쩍 떠나는\n기본 세계 여행",5136061,0,20
10136,5136061,0,8,91002,"팬의 눈은\n속일 수 없다",5136062,5136061,20
10136,5136061,0,8,91002,"당신의 이름은",5136063,5136061,20
10136,5136061,0,8,91002,"엇갈린 오후",5136064,5136061,20
10136,5136061,0,8,91002,"언니니까\n괜찮아!",5136065,5136061,20
10136,5136061,0,8,91002,"당신은\n닌자입니까?",5136066,5136061,20
10136,5136061,0,8,91002,"세계를 뛰어넘어서도\n대악당",5136067,5136061,20
10136,5136061,0,8,91002,"바람과 명풍",5136068,5136061,20
10136,5136061,0,8,91002,"닮은 사람의\n무~서운 이야기",5136069,5136061,20
10137,5136061,5137005,8,91002,"같은 별하늘 아래",5137061,0,20
10137,5137061,0,8,91002,"웃는 침입자",5137062,5137061,20
10137,5137062,0,8,91002,"친숙한 첫 만남",5137063,5137061,20
10137,5137063,0,8,91002,"어른의 대화는 밤사이에",5137064,5137061,20
10137,5137064,0,8,91002,"외로움 타지 않아",5137065,5137061,20
10137,5137065,0,8,91002,"랜드솔에 건배",5137066,5137061,20
10137,5137066,0,8,91002,"쓸쓸함은 눈 밑에",5137067,5137061,20
10137,5137067,0,8,91002,"에리스의 작별 선물",5137068,5137067,20
10137,5137068,0,8,91002,NO.HP1895L14,5137069,5137068,20
10137,5137069,0,8,91002,NO.HT1963PM,5137070,5137068,20
10137,5137070,0,8,91002,NO.UNKNOWN,5137071,5137068,20
10137,0,0,16,9000240,"또 하나의 길드",5137072,5137071,1
