talent_id_4,talent_id_1,parameter_type,enhance_value,enhance_id,talent_id_2,talent_id_3,talent_id_5
4,1,1,48,111,2,3,5
4,1,1,96,121,2,3,5
4,1,1,144,131,2,3,5
4,1,1,192,141,2,3,5
4,1,1,240,151,2,3,5
0,1,2,84,211,0,0,0
0,1,2,168,221,0,0,0
0,1,2,252,231,0,0,0
0,1,2,336,241,0,0,0
0,1,2,420,251,0,0,0
0,3,5,36,311,0,0,0
0,3,5,72,321,0,0,0
0,3,5,108,331,0,0,0
0,3,5,144,341,0,0,0
0,3,5,180,351,0,0,0
0,4,4,84,411,0,0,0
0,4,4,168,421,0,0,0
0,4,4,252,431,0,0,0
0,4,4,336,441,0,0,0
0,4,4,420,451,0,0,0
0,2,4,84,511,0,0,0
0,2,4,168,521,0,0,0
0,2,4,252,531,0,0,0
0,2,4,336,541,0,0,0
0,2,4,420,551,0,0,0
0,4,2,84,611,0,0,0
0,4,2,168,621,0,0,0
0,4,2,252,631,0,0,0
0,4,2,336,641,0,0,0
0,4,2,420,651,0,0,0
0,5,1,56,711,0,0,0
0,5,1,112,721,0,0,0
0,5,1,168,731,0,0,0
0,5,1,224,741,0,0,0
0,5,1,280,751,0,0,0
0,2,101,1,811,0,0,0
0,3,2,84,911,0,0,0
0,3,2,168,921,0,0,0
0,3,2,252,931,0,0,0
0,3,2,336,941,0,0,0
0,3,2,420,951,0,0,0
0,1,101,1,1011,0,0,0
0,2,5,36,1111,0,0,0
0,2,5,72,1121,0,0,0
0,2,5,108,1131,0,0,0
0,2,5,144,1141,0,0,0
0,2,5,180,1151,0,0,0
0,5,4,84,1211,0,0,0
0,5,4,168,1221,0,0,0
0,5,4,252,1231,0,0,0
0,5,4,336,1241,0,0,0
0,5,4,420,1251,0,0,0
0,1,2,86,1311,0,0,0
0,1,2,172,1321,0,0,0
0,1,2,258,1331,0,0,0
0,1,2,344,1341,0,0,0
0,1,2,430,1351,0,0,0
0,3,1,44,1411,0,0,0
0,3,1,88,1421,0,0,0
0,3,1,132,1431,0,0,0
0,3,1,176,1441,0,0,0
0,3,1,220,1451,0,0,0
0,4,5,36,1511,0,0,0
0,4,5,72,1521,0,0,0
0,4,5,108,1531,0,0,0
0,4,5,144,1541,0,0,0
0,4,5,180,1551,0,0,0
0,5,101,1,1611,0,0,0
0,2,100,1,1711,0,0,0
0,3,4,84,1811,0,0,0
0,3,4,168,1821,0,0,0
0,3,4,252,1831,0,0,0
0,3,4,336,1841,0,0,0
0,3,4,420,1851,0,0,0
0,4,3,36,1911,0,0,0
0,4,3,72,1921,0,0,0
0,4,3,108,1931,0,0,0
0,4,3,144,1941,0,0,0
0,4,3,180,1951,0,0,0
0,1,4,84,2011,0,0,0
0,1,4,168,2021,0,0,0
0,1,4,252,2031,0,0,0
0,1,4,336,2041,0,0,0
0,1,4,420,2051,0,0,0
0,3,100,1,2111,0,0,0
0,5,2,84,2211,0,0,0
0,5,2,168,2221,0,0,0
0,5,2,252,2231,0,0,0
0,5,2,336,2241,0,0,0
0,5,2,420,2251,0,0,0
0,1,1,44,2311,0,0,0
0,1,1,88,2321,0,0,0
0,1,1,132,2331,0,0,0
0,1,1,176,2341,0,0,0
0,1,1,220,2351,0,0,0
0,2,2,84,2411,0,0,0
0,2,2,168,2421,0,0,0
0,2,2,252,2431,0,0,0
0,2,2,336,2441,0,0,0
0,2,2,420,2451,0,0,0
0,5,4,86,2511,0,0,0
0,5,4,172,2521,0,0,0
0,5,4,258,2531,0,0,0
0,5,4,344,2541,0,0,0
0,5,4,430,2551,0,0,0
4,1,100,1,2611,2,3,5
4,1,100,2,2621,2,3,5
4,1,100,3,2631,2,3,5
0,1,3,36,2711,0,0,0
0,1,3,72,2721,0,0,0
0,1,3,108,2731,0,0,0
0,1,3,144,2741,0,0,0
0,1,3,180,2751,0,0,0
0,4,4,86,2811,0,0,0
0,4,4,172,2821,0,0,0
0,4,4,258,2831,0,0,0
0,4,4,344,2841,0,0,0
0,4,4,430,2851,0,0,0
0,5,7,10,2911,0,0,0
0,5,7,20,2921,0,0,0
0,5,7,30,2931,0,0,0
0,5,7,40,2941,0,0,0
0,5,7,50,2951,0,0,0
0,2,3,36,3011,0,0,0
0,2,3,72,3021,0,0,0
0,2,3,108,3031,0,0,0
0,2,3,144,3041,0,0,0
0,2,3,180,3051,0,0,0
0,3,1,46,3111,0,0,0
0,3,1,92,3121,0,0,0
0,3,1,138,3131,0,0,0
0,3,1,184,3141,0,0,0
0,3,1,230,3151,0,0,0
0,4,4,88,3211,0,0,0
0,4,4,176,3221,0,0,0
0,4,4,264,3231,0,0,0
0,4,4,352,3241,0,0,0
0,4,4,440,3251,0,0,0
0,1,4,86,3311,0,0,0
0,1,4,172,3321,0,0,0
0,1,4,258,3331,0,0,0
0,1,4,344,3341,0,0,0
0,1,4,430,3351,0,0,0
0,2,2,86,3411,0,0,0
0,2,2,172,3421,0,0,0
0,2,2,258,3431,0,0,0
0,2,2,344,3441,0,0,0
0,2,2,430,3451,0,0,0
0,3,5,38,3511,0,0,0
0,3,5,76,3521,0,0,0
0,3,5,114,3531,0,0,0
0,3,5,152,3541,0,0,0
0,3,5,190,3551,0,0,0
0,4,2,86,3611,0,0,0
0,4,2,172,3621,0,0,0
0,4,2,258,3631,0,0,0
0,4,2,344,3641,0,0,0
0,4,2,430,3651,0,0,0
0,5,4,88,3711,0,0,0
0,5,4,176,3721,0,0,0
0,5,4,264,3731,0,0,0
0,5,4,352,3741,0,0,0
0,5,4,440,3751,0,0,0
0,2,1,44,3811,0,0,0
0,2,1,88,3821,0,0,0
0,2,1,132,3831,0,0,0
0,2,1,176,3841,0,0,0
0,2,1,220,3851,0,0,0
0,3,4,86,3911,0,0,0
0,3,4,172,3921,0,0,0
0,3,4,258,3931,0,0,0
0,3,4,344,3941,0,0,0
0,3,4,430,3951,0,0,0
0,5,3,36,4011,0,0,0
0,5,3,72,4021,0,0,0
0,5,3,108,4031,0,0,0
0,5,3,144,4041,0,0,0
0,5,3,180,4051,0,0,0
0,2,7,10,4111,0,0,0
0,2,7,20,4121,0,0,0
0,2,7,30,4131,0,0,0
0,2,7,40,4141,0,0,0
0,2,7,50,4151,0,0,0
0,1,2,88,4211,0,0,0
0,1,2,176,4221,0,0,0
0,1,2,264,4231,0,0,0
0,1,2,352,4241,0,0,0
0,1,2,440,4251,0,0,0
0,4,3,38,4311,0,0,0
0,4,3,76,4321,0,0,0
0,4,3,114,4331,0,0,0
0,4,3,152,4341,0,0,0
0,4,3,190,4351,0,0,0
0,5,1,58,4411,0,0,0
0,5,1,116,4421,0,0,0
0,5,1,174,4431,0,0,0
0,5,1,232,4441,0,0,0
0,5,1,290,4451,0,0,0
0,2,2,88,4511,0,0,0
0,2,2,176,4521,0,0,0
0,2,2,264,4531,0,0,0
0,2,2,352,4541,0,0,0
0,2,2,440,4551,0,0,0
0,3,2,86,4611,0,0,0
0,3,2,172,4621,0,0,0
0,3,2,258,4631,0,0,0
0,3,2,344,4641,0,0,0
0,3,2,430,4651,0,0,0
0,4,7,10,4711,0,0,0
0,4,7,20,4721,0,0,0
0,4,7,30,4731,0,0,0
0,4,7,40,4741,0,0,0
0,4,7,50,4751,0,0,0
0,1,3,38,4811,0,0,0
0,1,3,76,4821,0,0,0
0,1,3,114,4831,0,0,0
0,1,3,152,4841,0,0,0
0,1,3,190,4851,0,0,0
0,2,5,38,4911,0,0,0
0,2,5,76,4921,0,0,0
0,2,5,114,4931,0,0,0
0,2,5,152,4941,0,0,0
0,2,5,190,4951,0,0,0
0,5,2,86,5011,0,0,0
0,5,2,172,5021,0,0,0
0,5,2,258,5031,0,0,0
0,5,2,344,5041,0,0,0
0,5,2,430,5051,0,0,0
0,1,4,88,5111,0,0,0
0,1,4,176,5121,0,0,0
0,1,4,264,5131,0,0,0
0,1,4,352,5141,0,0,0
0,1,4,440,5151,0,0,0
0,3,3,36,5211,0,0,0
0,3,3,72,5221,0,0,0
