end_time,story_type,story_group_id,start_time,title,value,thumbnail_id,disp_order
"2030/04/24 14:59:59",6,6017,"2020/06/30 15:00:00","Re:제로부터 모이는 이세계 식탁",10053,0,1
"2030/04/24 14:59:59",6,6019,"2020/07/30 15:00:00","스즈나 레인보우 스테이지!",20015,0,1
"2030/04/24 14:59:59",6,6023,"2020/09/29 15:00:00","숲의 겁쟁이와 성스러운 학교의 이단아",20017,0,1
"2030/04/24 14:59:59",6,6025,"2020/10/29 15:00:00","리틀 브레이브 할로윈 나이트!",20018,0,1
"2030/04/24 14:59:59",6,6027,"2020/11/30 15:00:00","드래곤 익스플로러즈",20019,0,1
"2030/04/24 14:59:59",6,6029,"2020/12/29 15:00:00","프레젠트 패닉! 랜드솔의 산타들",20020,0,1
"2030/04/24 14:59:59",6,6033,"2021/03/02 15:00:00","마법소녀 둘은 미스티&퓨어리",20022,0,1
"2030/04/24 14:59:59",6,6038,"2021/04/29 15:00:00","베푸는 재단과 성스러운 학교의 이단아",20023,0,1
"2030/04/24 14:59:59",6,6040,"2021/05/31 15:00:00","목장의 네 농부 가난한 목장 분투기!",20024,0,1
"2030/04/24 14:59:59",6,6042,"2021/07/01 15:00:00","이상한 나라의 리노 작은 앨리스와 희망의 그림책",20025,0,1
"2030/04/24 14:59:59",6,6044,"2021/08/02 15:00:00","칠석 검객 여정담 하늘에 흐르는 여름의 사랑",20026,0,1
"2030/04/24 14:59:59",6,6048,"2021/10/02 15:00:00","해피 체인지 엔젤즈",20028,0,1
"2030/04/24 14:59:59",6,6050,"2021/11/01 15:00:00","울려라! 절규! 할로윈 고스트 페스티벌",20029,0,1
"2030/04/24 14:59:59",6,6052,"2021/12/01 15:00:00","마법 제독 러블리★모니카 렛츠 고! 매지컬 콰르텟!",20030,0,1
"2030/04/24 14:59:59",6,6054,"2021/12/30 15:00:00","데뷔탕트 샹그릴라 크리스마스이브의 러브 게임",20031,0,1
"2030/04/24 14:59:59",6,6056,"2022/01/28 15:00:00","신춘 미식가 프린세스! 한 방에 건 소녀들",20032,0,1
"2030/04/24 14:59:59",6,6061,"2022/03/28 15:00:00","신데렐라 레슨 화려한 나날은 사과 맛",20035,0,1
"2030/04/24 14:59:59",6,6066,"2022/05/30 15:00:00","이노리 SOS!! 타임 트래블 드래곤즈",20037,0,1
"2030/04/24 14:59:59",6,6068,"2022/06/30 15:00:00","이심전심! 아오이 토이 프렌즈",20038,0,1
"2030/04/24 14:59:59",6,6076,"2022/10/31 15:00:00","할로윈 세이버즈 스크램블! 복슬복슬 포획 대작전",20042,0,1
"2030/04/24 14:59:59",6,6078,"2022/12/01 15:00:00","마법소녀 외전 매지컬★느와르즈!",20043,0,1
"2030/04/24 14:59:59",6,6088,"2023/03/29 15:00:00","스위트 타이니 스테이지! 신인 여배우와 리틀 레이디",20048,0,1
"2030/04/24 14:59:59",6,6090,"2023/05/02 15:00:00","보물 환영! 인비저블 스틸러즈",20049,0,1
"2030/04/24 14:59:59",6,6094,"2023/06/29 15:00:00","엔조이＆리프레시! 울퉁불퉁 걸즈 캠프",20051,0,1
"2030/04/24 14:59:59",6,6100,"2023/09/25 15:00:00","마호마호 미라클 저니! 여행하는 소녀와 땅끝의 커다란 나무",20054,0,1
"2030/04/24 14:59:59",6,6102,"2023/11/02 15:00:00","좋아요! 러브! 총집합! 지고의 제전과 소녀의 비밀스런 덕질",20055,0,1
"2030/04/24 14:59:59",6,6104,"2023/11/30 15:00:00","트라이벌 스피리츠 치켜올린 검과 긍지의 가교",20056,0,1
"2030/04/24 14:59:59",6,6114,"2024/03/30 15:00:00","고양이와 막과자 찻집  카페 나슈카체에 어서 오세요",10141,0,1
"2030/04/24 14:59:59",6,6124,"2024/08/27 15:00:00","전율 유기 해안 ~서머 리조트 스릴러즈~",10151,0,1
"2030/04/24 14:59:59",6,6144,"2025/05/29 15:00:00","꽃 피는 계절의 상세리테",10144,0,1
