name,effect_value,recipe_id,sold_price,effect_type,disable_category,category,prefab_id,sub_effect_description,sub_effect_value,effect_turn,description,sub_effect_type,effect_description,effect_times,dish_id,new_line_name
"페코린느의 만복 트윈 주먹밥",2,51001,500,1,0,1,1,"500마일 획득한다.",2,1,"페코린느가 정성껏 만든 특대 주먹밥. 밥은 생명의 에너지라는 걸 구현했다는 듯하다. 평범한 사람은 배부르다고 느낄 양보다 2배나 되는 크기의 밥 안에 최고급 속 재료를 넣은 【미식전】다운 일품.",10,"다음에 던질 주사위가 2개로 증가한다. 나온 숫자를 더한 만큼 전진한다.",0,52001,"페코린느의\n만복 트윈 주먹밥"
"콧코로의 느긋한 휴식 샐러드",30001,51002,500,3,0,1,2,"500마일 획득한다.",2,1,"콧코로가 모두를 생각해 준비한 샐러드. 영양 밸런스도 고려한 데다 포만감도 좋으며 맛뿐만 아니라 모양에도 신경을 썼다. 모험에 활력을 주는 자애로운 일품.",10,"다음에 던지는 주사위 숫자가 반드시 「1」이 나온다. 또한 다음 턴 수 카운트를 스킵한다.",0,52002,"콧코로의\n느긋한 휴식 샐러드"
"캬루의 일품 5성 버거",20004,51003,500,2,0,1,1,"평범한 미감정 트레저를 1개 획득한다.",1,1,"캬루가 먹고 싶은 것들을 끼워 넣은 햄버거. 구수한 빵과 고기 향이 식욕을 자극한다. 마물이 아닌 재료로 만들었기에 모험 중에 먹기에는 호사스러운 일품이라고 캬루는 믿고 있다.",10,"다음에 던지는 주사위 숫자가 반드시 「5」가 나온다.",0,52003,"캬루의\n일품 5성 버거"
"리리의 꾸준하게 노력 찹쌀떡",20001,51004,500,2,0,1,3,"800마일 획득한다.",4,3,"리리가 만든 찰떡…… 중에서도 성공적으로 만들어진 엄선된 일품. 최고급 재료를 사용한 데다 실패한 떡은 리리가 먹었기에 단가만 보면 상당한 고급품이다.",10,"주사위를 3회 던질 동안, 주사위 숫자가 반드시 「4」가 나온다.",0,52004,"리리의 꾸준하게\n노력 찹쌀떡"
"크리아의 다채로운 버라이어티 도시락",1,51005,500,4,0,3,3,"다음 주사위를 던졌을 때, 1칸 더 전진한다.",1,0,"크리아가 아침 일찍부터 준비한 모험용 도시락. 반찬은 다양하고 전부 일품이지만, 어떤 걸 넣었는지는 모두에게 비밀로 했기에 뚜껑을 열기 전까지 기대감이 부푼다.",11,"랜덤 이벤트가 발생한다.",0,52005,"크리아의 다채로운\n버라이어티 도시락"
"프레시아의 먹보 꿀꿀 고기 찐빵",20002,51006,500,2,0,1,1,"800마일 획득한다.",4,1,"프레시아가 엄선한 재료를 넣은 고기 찐빵. 그녀의 희망대로 일반 고기 찐빵보다 몇 배나 큰 사이즈로 만들어졌다. 맛도 양도 만점이라 틀림없이 행복할 거라고요♪ 조리 담당 크리아 왈.",10,"다음에 던지는 주사위 숫자가 「4ㆍ5ㆍ6」만 나온다.",0,52006,"프레시아의 먹보\n꿀꿀 고기 찐빵"
"카야와 이노리의 식욕 두 배 케밥 샌드위치",1,51007,500,7,0,1,1,"추첨권을 1장 획득한다.",3,2,"카야와 이노리가 도시락 대신 가져온 케밥. 이노리의 단골 가게라 폭력적인 맛이 나서 갱으로서의 의욕이 혼자서는 3배, 콤비로는 6배가 되어 하극상을 달성할 힘이 솟아난다……고 한다.",10,"다음에 던지는 주사위 숫자가 반드시 「3」, 그다음에 던지는 주사위 숫자는 반드시 「6」이 나온다.",0,52007,"카야와 이노리의 \n식욕 두 배 케밥 샌드위치"
"타마키의 금전운을 부르는 레인보우 붕어빵",200,51008,500,5,0,2,2,"500마일 획득한다.",2,0,"타마키 일행이 『지오 테오고니아』로 가져온 붕어빵의 개념이 현지 문화와 융합되어 탄생한 마개조 디저트. 무지갯빛으로 빛나는 그 달콤함은 실제로 랜드솔에서 파는 붕어빵의 몇 배나 된다고 한다.",10,"다음에 마일 칸에 멈췄을 때 획득 마일이 200% 증가한다.",1,52008,"타마키의 금전운을 부르는\n레인보우 붕어빵"
"클로체의 풀 파워 감자 샐러드",1,51009,500,7,1,1,2,"평범한 미감정 트레저를 1개 획득한다.",1,2,"클로체가 풀 파워로 만든 감자 샐러드. 원래는 갈레트를 만들려고 했지만, 실수로 뭉개 버리는 바람에 궤도를 수정해서 만든 일품. 경위야 어찌 됐든 맛은 상당히 좋다.",10,"[FF7C4E,D62146]【덮어쓰기 불가】[-]다음에 던지는 주사위 숫자가 반드시 「8」, 그다음에 던지는 주사위 숫자는 반드시 「1」이 나온다.",0,52009,"클로체의\n풀 파워 감자 샐러드"
"아야네와 쿠루미의 푸른 하늘 피크닉 세트",1,51010,500,6,0,2,3,"500마일 획득한다.",2,0,"아야네와 쿠루미가 둘이서 준비한 특별한 점심 바구니. 동료와 함께하는 모험에 대한 희망이 가득 담긴 기분 좋은 요리들로, 도중에 겪는 다양한 사건이 한층 더 새롭게 느껴진다.",10,"맵 위의 「마일 칸」, 「트레저 칸」, 「상점 칸」의 RANK가 1씩 상승한다. 효과는 해당 칸에 총 2회 멈출 때까지 지속된다.",2,52010,"아야네와 쿠루미의\n푸른 하늘 피크닉 세트"
"리마의 신기한 스위트 애플",1,51011,500,7,0,1,3,"추첨권을 1장 획득한다.",3,2,"리마가 네네카에게 받은 사과로 만든 비밀 디저트. 산뜻한 산미와 농후한 단맛이 마치 마법 같은 균형을 이루며 시너지를 일으켜, 먹은 사람은 금세 포로가 된다고 한다.",10,"다음에 던지는 주사위 숫자가 반드시 「2」, 그다음에 던지는 주사위 숫자는 반드시 「7」이 나온다.",0,52011,"리마의 신기한\n스위트 애플"
"니논의 오리지널 히후미 초밥",30002,51012,500,3,0,1,2,"평범한 미감정 트레저를 1개 획득한다.",1,1,"니논이 지오 테오고니아에 지참한 특별한\n초밥. 엄선된 신선한 해산물을 사용한 일품이지만,\n일부 재료는 초밥의 이론을 탈피한\n니논만의 방식으로 만들어졌다.",10,"다음에 던지는 주사위 숫자가 「1・2・3」만 나온다. 또한 다음 턴 수 카운트를 스킵한다.",0,52012,"니논의 오리지널 \n히후미 초밥"
"크레짓타의 개운 디저트 세트",2,51013,500,8,0,3,3,"800마일을 획득한다.",4,0,"크레짓타가 고안한, 지오 테오고니아에 유통되고 있는 초콜릿 화폐 세트. 언뜻 보기에는 금화를 입에 넣는 바보 같지만, 통용되는 화폐를 먹는다는 배덕감이야말로\n숨겨진 맛이다.",10,"RANK 2 마일 상점을 연다.",0,52013,"크레짓타의 개운\n디저트 세트"
"리노의 「시간은 은이다」 빙수",1,51014,500,9,0,1,2,"다음에 주사위를 던졌을 때, 1칸 더 이동한다.",1,2,"귀여운 여동생이 오빠를 위해 마음을 담아 만든 특별한 빙수. 한입 먹으면 바로 시원한 단맛이 정신을 날카롭게 깨어나게 만들며, 어떠한 이득도 놓치지 않는 한모양처가 된다고 한다.",11,"「마일 칸」을 스킵하고 이동할 수 있다. 효과는 2턴 간 지속된다.",0,52014,"리노의 \n「시간은 은이다」 빙수"
"시즈루의 애정 듬뿍듬뿍 햄버그",2,51015,500,1,0,1,1,"다음에 주사위를 던졌을 때, 1칸 더 이동한다.",1,1,"누나가 동생을 위해 마음을 담아 만든 특별한 햄버그.\n펄펄 뜨거운 육즙과 함께 넘쳐흐를 듯한 사랑이\n꽉 차 있어, 한입만 먹어도 어디든 뛰어다니고\n싶어질 정도의 맛.",11,"다음에 던지는 주사위가 2개로 늘어난다. 나온 숫자의 합계만큼 이동한다.",0,52015,"시즈루의 애정\n듬뿍듬뿍 햄버그"
"아오이의 질주 샌드위치",20005,51016,500,2,0,1,3,"없음",0,1,"아오이가 도시락으로 만든 엘프 전통 야채 샌드위치.\n같이 따라와 준 최고의 친구의 조언을 통해 어떤 깊은\n숲속이라도 전속력으로 빠져나올 수 있다는 듯하다.\n(아오이 왈)",0,"다음에 던지는 주사위 숫자가 반드시 「6」이 된다.",0,52016,"아오이의 질주\n샌드위치"
"쿠우카의 긴박 촉수 활어회",1,51017,500,2,1,1,3,"없음",5,2,"셀 수 없는 마조히스트 망상을 한 쿠우카가\n최근 빠진 촉수 모티프 활어회. 신선한 문어발이\n농후한 감칠맛과 함께 물리적으로 휘감아,\n심신이 꽁꽁 묶인 듯한 체험을 할 수 있다.",10,"[FF7C4E,D62146]【덮어쓰기 불가】[-]다음 턴 「이동 계열 카테고리의 요리」를 먹을 수 없는 대신, 바로 2000마일을 획득한다.",0,52017,"쿠우카의 긴박\n촉수 활어회"
"란파의 돌봄 삼매경 고기 감자 조림",20006,51018,500,2,0,1,1,"1000마일을 획득한다.",6,1,"콧코로의 지도 덕에 요리 솜씨가 늘은 란파가\n직접 만든 고기 감자 조림. 아직 개선의 여지는 있지만,\n감정 표현에 서투른 란파가 누군가를 위해 쌓아 올린\n노력을 생각하면 무척 맛있게 먹을 수 있다.",10,"다음에 던지는 주사위 숫자가 반드시 「3」이 된다.",0,52018,"란파의 돌봄 삼매경 고기 감자 조림"
"와카나의 절약 배부름 80% 카레",20007,0,500,2,0,1,1,"없음",0,1,"어제 밴디 시스터즈의 저녁밥이었던 카레. 너무 많이\n만들어서 다 먹지 못했던 것을 와카나가 나눠 줬다.\n하루 재워 둬서 맛이 더 진하게 배어,\n극상의 이튿날 카레가 완성되었다.",0,"다음에 던지는 주사위 숫자가 반드시 「8」이 된다.",0,52019,"와카나의 절약 배부름 80% 카레"
"리노의 「시간은 은이다」 빙수",1,51014,500,9,0,2,2,"다음에 주사위를 던졌을 때, 1칸 더 이동한다.",1,2,"귀여운 여동생이 오빠를 위해 마음을 담아 만든 특별한 빙수. 한입 먹으면 바로 시원한 단맛이 정신을 날카롭게 깨어나게 만들며, 어떠한 이득도 놓치지 않는 한모양처가 된다고 한다.",11,"「마일 칸」을 스킵하고 이동할 수 있다. 효과는 2턴 간 지속된다.",0,52020,"리노의 \n「시간은 은이다」 빙수"
