equipment_enhance_level,promotion_level,needed_point,total_point
1,2,20,20
1,3,30,30
2,3,50,80
3,3,80,160
1,4,60,60
2,4,100,160
3,4,180,340
4,4,360,700
5,4,500,1200
1,5,100,100
2,5,160,260
3,5,280,540
4,5,480,1020
5,5,780,1800
1,6,100,100
2,6,160,260
3,6,280,540
4,6,480,1020
5,6,780,1800
1,7,100,100
2,7,160,260
3,7,280,540
4,7,480,1020
5,7,780,1800
1,8,100,100
2,8,160,260
3,8,280,540
4,8,480,1020
5,8,780,1800
1,9,100,100
2,9,160,260
3,9,280,540
4,9,480,1020
5,9,780,1800
1,10,100,100
2,10,160,260
3,10,280,540
4,10,480,1020
5,10,780,1800
