guest_enemy_id,enemy_id_4,enemy_id_5,enemy_id_3,enemy_id_1,wave_group_id,enemy_id_2,guest_lane
0,0,0,600130001,600060001,610201001,600090001,0
0,0,0,600070001,600090001,610201002,600300101,0
0,600230001,0,600420001,600380001,610201003,600050001,0
0,0,0,600110003,600090103,610201004,600300003,0
0,0,0,600390003,600120001,610201005,600300003,0
0,600340003,0,600160003,600290103,610201006,600380102,0
0,0,0,600440004,600370004,610201007,600060004,0
0,0,0,600080004,600330002,610201008,600210104,0
0,600160004,0,600420004,600270004,610201009,600380103,0
0,0,0,600340010,600380009,610201010,600320010,0
0,0,0,600140010,600050009,610201011,600300010,0
0,600130110,0,600250010,600330008,610201012,600290210,0
0,0,0,600020011,600030011,610201013,600280011,0
0,0,0,600280011,600210111,610201014,600010011,0
0,600210111,0,600100011,600040010,610201015,600030011,0
0,0,0,600130013,600060013,610201016,600090013,0
0,0,0,600070013,600090013,610201017,600300113,0
0,600230013,0,600420013,600380012,610201018,600050012,0
0,0,0,600110014,600090114,610201019,600300014,0
0,0,0,600390014,600120012,610201020,600300014,0
0,600340014,0,600160014,600290114,610201021,600380113,0
0,0,0,600440016,600370016,610201022,600060016,0
0,0,0,600080016,600330014,610201023,600210116,0
0,600160016,0,600420016,600270016,610201024,600380115,0
0,0,0,600340017,600380016,610201025,600320017,0
0,0,0,600140017,600050016,610201026,600300017,0
0,600130117,0,600250017,600330015,610201027,600290217,0
0,0,0,600020019,600030019,610201028,600280019,0
0,0,0,600280019,600210119,610201029,600010019,0
0,600210119,0,600100019,600040018,610201030,600030019,0
0,0,0,600390020,600030020,610201031,600290120,0
0,0,0,600300120,600060020,610201032,600230018,0
0,600020020,0,600050020,600130120,610201033,600040020,0
0,0,0,600110022,600090022,610201034,600400022,0
0,0,0,600430022,600070022,610201035,600090122,0
0,600140022,0,600420022,600120022,610201036,600380122,0
0,0,0,600110023,600090023,610201037,600400023,0
0,0,0,600010021,600280022,610201038,600270023,0
0,600150023,0,600220023,600240023,610201039,600380123,0
0,0,0,0,610201101,610201101,0,0
0,0,0,0,610201201,610201102,0,0
0,0,0,0,610201202,610201103,0,0
0,0,0,0,610201203,610201104,0,0
0,0,0,0,610201301,610201105,0,0
0,0,0,0,610201302,610201106,0,0
0,0,0,0,610201303,610201107,0,0
0,0,0,0,610201151,610201151,0,0
0,610201453,0,610201452,610201251,610201152,610201451,0
0,0,0,0,610201252,610201153,0,0
0,0,0,0,610201253,610201154,0,0
0,610201553,0,610201552,610201351,610201155,610201551,0
0,0,0,0,610201352,610201156,0,0
0,0,0,0,610201353,610201157,0,0
