reward_num,reward_type,mission_reward_id,reward_id,id
3000000,12,100101,94002,1
300,2,100101,20004,2
1000,2,100102,90008,3
6,2,100103,25001,4
1000000,12,100104,94002,5
300,2,100104,20004,6
1000,2,100105,90008,7
6,2,100106,25001,8
40,8,100107,91002,9
1000000,12,100107,94002,10
300,2,100107,20004,11
1000,2,100108,90008,12
1,2,100109,41000,13
7,2,100109,25001,14
1000000,12,100110,94002,15
400,2,100110,20004,16
1500,2,100111,90008,17
40,8,100112,91002,18
7,2,100112,25001,19
1000000,12,100113,94002,20
400,2,100113,20004,21
1500,2,100114,90008,22
1,2,100115,41000,23
7,2,100115,25001,24
1000000,12,100116,94002,25
500,2,100116,20004,26
40,8,100117,91002,27
1500,2,100117,90008,28
2000000,12,100118,94002,29
8,2,100118,25001,30
2000,2,100118,90008,31
3000000,12,100201,94002,32
300,2,100201,20004,33
1000,2,100202,90008,34
12,2,100203,25001,35
1000000,12,100204,94002,36
300,2,100204,20004,37
1000,2,100205,90008,38
10,2,100206,25001,39
40,8,100207,91002,40
1000000,12,100207,94002,41
300,2,100207,20004,42
1000,2,100208,90008,43
1,2,100209,41000,44
10,2,100209,25001,45
1000000,12,100210,94002,46
400,2,100210,20004,47
1500,2,100211,90008,48
40,8,100212,91002,49
9,2,100212,25001,50
1000000,12,100213,94002,51
400,2,100213,20004,52
1500,2,100214,90008,53
1,2,100215,41000,54
1000000,12,100216,94002,55
500,2,100216,20004,56
40,8,100217,91002,57
1500,2,100217,90008,58
2000000,12,100218,94002,59
2000,2,100218,90008,60
3000000,12,100301,94002,61
300,2,100301,20004,62
1000,2,100302,90008,63
12,2,100303,25001,64
1000000,12,100304,94002,65
300,2,100304,20004,66
1000,2,100305,90008,67
10,2,100306,25001,68
40,8,100307,91002,69
1000000,12,100307,94002,70
300,2,100307,20004,71
1000,2,100308,90008,72
1,2,100309,41000,73
10,2,100309,25001,74
1000000,12,100310,94002,75
400,2,100310,20004,76
1500,2,100311,90008,77
40,8,100312,91002,78
9,2,100312,25001,79
1000000,12,100313,94002,80
400,2,100313,20004,81
1500,2,100314,90008,82
1,2,100315,41000,83
1000000,12,100316,94002,84
500,2,100316,20004,85
40,8,100317,91002,86
1500,2,100317,90008,87
2000000,12,100318,94002,88
2000,2,100318,90008,89
3000000,12,100401,94002,90
300,2,100401,20004,91
1000,2,100402,90008,92
12,2,100403,25001,93
1000000,12,100404,94002,94
300,2,100404,20004,95
1000,2,100405,90008,96
10,2,100406,25001,97
40,8,100407,91002,98
1000000,12,100407,94002,99
300,2,100407,20004,100
1000,2,100408,90008,101
1,2,100409,41000,102
10,2,100409,25001,103
1000000,12,100410,94002,104
400,2,100410,20004,105
1500,2,100411,90008,106
40,8,100412,91002,107
9,2,100412,25001,108
1000000,12,100413,94002,109
400,2,100413,20004,110
1500,2,100414,90008,111
1,2,100415,41000,112
1000000,12,100416,94002,113
500,2,100416,20004,114
40,8,100417,91002,115
1500,2,100417,90008,116
2000000,12,100418,94002,117
2000,2,100418,90008,118
3000000,12,100501,94002,119
300,2,100501,20004,120
1000,2,100502,90008,121
12,2,100503,25001,122
1000000,12,100504,94002,123
300,2,100504,20004,124
1000,2,100505,90008,125
10,2,100506,25001,126
40,8,100507,91002,127
1000000,12,100507,94002,128
300,2,100507,20004,129
1000,2,100508,90008,130
1,2,100509,41000,131
10,2,100509,25001,132
1000000,12,100510,94002,133
400,2,100510,20004,134
1500,2,100511,90008,135
40,8,100512,91002,136
9,2,100512,25001,137
1000000,12,100513,94002,138
400,2,100513,20004,139
1500,2,100514,90008,140
1,2,100515,41000,141
1000000,12,100516,94002,142
500,2,100516,20004,143
40,8,100517,91002,144
1500,2,100517,90008,145
2000000,12,100518,94002,146
2000,2,100518,90008,147
3000000,12,100601,94002,148
300,2,100601,20004,149
1000,2,100602,90008,150
12,2,100603,25001,151
1000000,12,100604,94002,152
300,2,100604,20004,153
1000,2,100605,90008,154
10,2,100606,25001,155
40,8,100607,91002,156
1000000,12,100607,94002,157
300,2,100607,20004,158
1000,2,100608,90008,159
1,2,100609,41000,160
10,2,100609,25001,161
1000000,12,100610,94002,162
400,2,100610,20004,163
1500,2,100611,90008,164
40,8,100612,91002,165
9,2,100612,25001,166
1000000,12,100613,94002,167
400,2,100613,20004,168
1500,2,100614,90008,169
1,2,100615,41000,170
1000000,12,100616,94002,171
500,2,100616,20004,172
40,8,100617,91002,173
1500,2,100617,90008,174
2000000,12,100618,94002,175
2000,2,100618,90008,176
3000000,12,100701,94002,177
300,2,100701,20004,178
1000,2,100702,90008,179
12,2,100703,25001,180
1000000,12,100704,94002,181
300,2,100704,20004,182
1000,2,100705,90008,183
10,2,100706,25001,184
40,8,100707,91002,185
1000000,12,100707,94002,186
300,2,100707,20004,187
1000,2,100708,90008,188
1,2,100709,41000,189
10,2,100709,25001,190
1000000,12,100710,94002,191
400,2,100710,20004,192
1500,2,100711,90008,193
40,8,100712,91002,194
9,2,100712,25001,195
1000000,12,100713,94002,196
400,2,100713,20004,197
1500,2,100714,90008,198
1,2,100715,41000,199
1000000,12,100716,94002,200
500,2,100716,20004,201
40,8,100717,91002,202
1500,2,100717,90008,203
2000000,12,100718,94002,204
2000,2,100718,90008,205
3000000,12,100801,94002,206
300,2,100801,20004,207
1000,2,100802,90008,208
12,2,100803,25001,209
1000000,12,100804,94002,210
300,2,100804,20004,211
1000,2,100805,90008,212
10,2,100806,25001,213
40,8,100807,91002,214
1000000,12,100807,94002,215
300,2,100807,20004,216
1000,2,100808,90008,217
1,2,100809,41000,218
10,2,100809,25001,219
1000000,12,100810,94002,220
400,2,100810,20004,221
1500,2,100811,90008,222
40,8,100812,91002,223
9,2,100812,25001,224
1000000,12,100813,94002,225
400,2,100813,20004,226
1500,2,100814,90008,227
1,2,100815,41000,228
1000000,12,100816,94002,229
500,2,100816,20004,230
40,8,100817,91002,231
1500,2,100817,90008,232
2000000,12,100818,94002,233
2000,2,100818,90008,234
