release_psy_product_id_2,release_psy_product_id_5,release_psy_product_id_1,condition_psy_product_1,release_psy_product_id_4,condition_psy_product_2,condition_psy_product_4,condition_time,condition_total_eat,drama_id,condition_psy_product_3,release_psy_product_id_3,condition_psy_product_5,condition_chara_type,title
0,0,0,0,0,0,0,0,0,1,0,0,0,0,"미야코’s 키친"
0,0,102,0,0,0,0,0,48,2,0,0,0,0,"푸딩으로 만들어버리는 거야"
0,0,152,0,0,0,0,0,96,3,0,0,0,0,"유령보다도 무서운 거?"
0,0,142,0,0,0,0,0,144,4,0,0,0,0,"연회는 푸딩 만들기와 함께"
0,0,127,0,0,0,0,0,168,5,0,0,0,0,"사랑은 푸딩을 위해"
0,0,107,0,0,0,0,0,192,6,0,0,0,0,"조금 성장?"
0,0,0,0,0,0,0,0,240,7,0,0,0,0,"뀨뀨~!"
154,0,153,0,0,0,0,0,0,8,0,155,0,20,"귀여운 부하 3명"
157,0,150,0,0,0,0,0,0,9,0,0,0,40,"특이한 취향인 거야"
161,0,125,0,0,0,0,0,0,10,0,0,0,50,"넣지 마, 위험한 거야"
135,0,116,0,0,0,0,0,0,11,0,0,0,60,"레시피인 거야?"
