icon_name,battle_effect_id,effect_name,description
poison_damage_up,1,"독/맹독 데미지 증가","전투 중 「독」「맹독」 데미지가 큰 폭으로 증가한다."
burn_damage_up,2,"화상 데미지 증가","전투 중 「화상」 데미지가 큰 폭으로 증가한다."
curse_damage_up,3,"저주/주술 데미지 증가","전투 중 「저주」「주술」 데미지가 큰 폭으로 증가한다."
paralysis_time_extension,4,"마비 효과 시간 증가","전투 중 「마비」의 효과 시간이 증가한다."
frozen_time_extension,5,"동결 효과 시간 증가","전투 중 「동결」의 효과 시간이 증가한다."
bind_time_extension,6,"속박 효과 시간 증가","전투 중 「속박」의 효과 시간이 증가한다."
stun_time_extension,7,"스턴 효과 시간 증가","전투 중 「스턴」의 효과 시간이 증가한다."
poison_time_extension,8,"독/맹독 효과 시간 증가","전투 중 「독」「맹독」의 효과 시간이 증가한다."
burn_time_extension,9,"화상 효과 시간 증가","전투 중 「화상」의 효과 시간이 증가한다."
curse_time_extension,10,"저주/주술 효과 시간 증가","전투 중 「저주」「주술」의 효과 시간이 증가한다."
temptation_time_extension,11,"유혹 효과 시간 증가","전투 중 「유혹」의 효과 시간이 증가한다."
confusion_time_extension,12,"혼란 효과 시간 증가","전투 중 「혼란」의 효과 시간이 증가한다."
attack_up,13,"물리 공격력 증가","전투 중 물리 공격력이 큰 폭으로 증가한다."
magic_str_up,14,"마법 공격력 증가","전투 중 마법 공격력이 큰 폭으로 증가한다."
defense_up,15,"물리 방어력 증가","전투 중 물리 방어력이 큰 폭으로 증가한다."
magic_def_up,16,"마법 방어력 증가","전투 중 마법 방어력이 큰 폭으로 증가한다."
physical_critical_up,17,"물리 크리티컬 증가","전투 중 물리 크리티컬이 큰 폭으로 증가한다."
magic_critical_up,18,"마법 크리티컬 증가","전투 중 마법 크리티컬이 큰 폭으로 증가한다."
energy_recovery_rate_up,19,"TP 상승 증가","전투 중 TP 상승이 큰 폭으로 증가한다."
energy_recovery,20,"전투 시작 시 TP (특대) 회복","전투 시작 시 TP를 (특대) 회복한다."
paralysis_hit_absolute,22,"마비 확정 부여","전투 중 「마비」를 반드시 부여할 수 있는 상태가 된다."
frozen_hit_absolute,23,"동결 확정 부여","전투 중 「동결」을 반드시 부여할 수 있는 상태가 된다."
bind_hit_absolute,24,"속박 확정 부여","전투 중 「속박」을 반드시 부여할 수 있는 상태가 된다."
stun_hit_absolute,25,"스턴 확정 부여","전투 중 「스턴」을 반드시 부여할 수 있는 상태가 된다."
poison_hit_absolute,26,"독/맹독 확정 부여","전투 중 「독」「맹독」을 반드시 부여할 수 있는 상태가 된다."
burn_hit_absolute,27,"화상 확정 부여","전투 중 「화상」을 반드시 부여할 수 있는 상태가 된다."
curse_hit_absolute,28,"저주/주술 확정 부여","전투 중 「저주」「주술」을 반드시 부여할 수 있는 상태가 된다."
temptation_hit_absolute,29,"유혹 확정 부여","전투 중 「유혹」을 반드시 부여할 수 있는 상태가 된다."
confusion_hit_absolute,30,"혼란 확정 부여","전투 중 「혼란」을 반드시 부여할 수 있는 상태가 된다."
