freegacha_1,stock_10_flag,id,end_time,relation_id,campaign_id,freegacha_10,start_time,relation_count
0,0,1,"2019/06/01 4:59:59",0,1,1,"2019/05/22 5:00:00",0
0,0,2,"2099/09/28 4:59:59",0,2,1,"2099/09/17 15:00:00",0
0,0,3,"2019/09/28 4:59:59",0,3,1,"2019/09/17 15:00:00",0
0,1,4,"2020/02/04 4:59:59",0,4,1,"2020/01/22 5:00:00",0
0,1,5,"2020/04/01 4:59:59",4,5,0,"2020/03/18 5:00:00",14
0,1,6,"2020/10/01 4:59:59",0,6,1,"2020/09/14 5:00:00",0
0,1,7,"2021/02/02 4:59:59",0,7,1,"2021/01/18 5:00:00",0
0,1,8,"2021/03/31 4:59:59",0,8,1,"2021/03/16 5:00:00",0
0,1,9,"2021/06/07 4:59:59",0,9,1,"2021/05/31 5:00:00",0
0,1,10,"2021/10/03 4:59:59",0,10,1,"2021/09/16 5:00:00",0
0,1,11,"2021/12/17 4:59:59",0,11,1,"2021/12/10 5:00:00",0
0,1,12,"2021/12/30 14:59:59",11,12,0,"2021/12/17 5:00:00",7
0,1,13,"2022/02/03 4:59:59",0,13,1,"2022/01/20 5:00:00",0
0,1,14,"2022/02/28 14:59:59",13,14,0,"2022/02/03 5:00:00",14
0,1,15,"2022/03/29 4:59:59",0,15,1,"2022/03/15 5:00:00",0
0,1,16,"2022/04/28 14:59:59",15,16,0,"2022/03/29 5:00:00",14
0,1,17,"2022/06/09 4:59:59",0,17,1,"2022/05/30 5:00:00",0
0,1,18,"2022/09/30 4:59:59",0,18,1,"2022/09/13 5:00:00",0
0,1,19,"2022/10/29 14:59:59",18,19,0,"2022/09/30 5:00:00",17
0,1,20,"2022/12/11 4:59:59",0,20,1,"2022/12/04 5:00:00",0
0,1,21,"2022/12/29 4:59:59",20,21,0,"2022/12/11 5:00:00",7
0,1,22,"2023/02/02 4:59:59",0,22,1,"2023/01/20 5:00:00",0
0,1,23,"2023/03/02 4:59:59",22,23,0,"2023/02/02 5:00:00",13
0,1,24,"2023/03/30 4:59:59",0,24,1,"2023/03/16 5:00:00",0
0,1,25,"2023/05/01 4:59:59",24,25,0,"2023/03/30 5:00:00",14
0,1,26,"2023/06/09 4:59:59",0,26,1,"2023/05/30 5:00:00",0
0,1,27,"2023/10/01 4:59:59",0,27,1,"2023/09/14 5:00:00",0
0,1,28,"2023/12/01 4:59:59",0,28,1,"2023/11/24 5:00:00",0
0,1,29,"2024/02/03 4:59:59",0,29,1,"2024/01/22 5:00:00",0
0,1,30,"2024/03/28 4:59:59",0,30,1,"2024/03/14 5:00:00",0
0,1,31,"2024/06/03 4:59:59",0,31,1,"2024/05/28 5:00:00",0
0,1,32,"2024/09/28 4:59:59",0,32,1,"2024/09/11 5:00:00",0
0,1,33,"2024/12/04 4:59:59",0,33,1,"2024/11/28 5:00:00",0
0,2,34,"2025/01/29 4:59:59",0,34,1,"2025/01/16 5:00:00",0
0,2,35,"2025/03/29 4:59:59",0,35,1,"2025/03/13 5:00:00",0
0,2,36,"2025/05/30 4:59:59",0,36,1,"2025/05/25 5:00:00",0
0,2,37,"2025/10/02 4:59:59",0,37,1,"2025/09/15 5:00:00",0
0,2,38,"2026/02/04 4:59:59",0,38,1,"2026/01/22 5:00:00",0
0,2,39,"2026/03/20 4:59:59",0,39,1,"2026/03/09 5:00:00",0
0,2,900,"2025/10/26 4:59:59",0,900,1,"2025/10/03 5:00:00",0
