freegacha_10,1dc034f51b0bc4e394529d2a653b94c203f1056028004e168f536cf09813a8a1,freegacha_1,campaign_id,end_time,id,5402edb284541b4f9d69bc8da6b040cb6d9bae43d9c57cede0ba884c6760e054,stock_10_flag,start_time
1,0,0,1,"2019/06/01 4:59:59",1,0,0,"2019/05/22 5:00:00"
1,0,0,2,"2099/09/28 4:59:59",2,0,0,"2099/09/17 15:00:00"
1,0,0,3,"2019/09/28 4:59:59",3,0,0,"2019/09/17 15:00:00"
1,0,0,4,"2020/02/04 4:59:59",4,0,1,"2020/01/22 5:00:00"
0,14,0,5,"2020/04/01 4:59:59",5,4,1,"2020/03/18 5:00:00"
1,0,0,6,"2020/10/01 4:59:59",6,0,1,"2020/09/14 5:00:00"
1,0,0,7,"2021/02/02 4:59:59",7,0,1,"2021/01/18 5:00:00"
1,0,0,8,"2021/03/31 4:59:59",8,0,1,"2021/03/16 5:00:00"
1,0,0,9,"2021/06/07 4:59:59",9,0,1,"2021/05/31 5:00:00"
1,0,0,10,"2021/10/03 4:59:59",10,0,1,"2021/09/16 5:00:00"
1,0,0,11,"2021/12/17 4:59:59",11,0,1,"2021/12/10 5:00:00"
0,7,0,12,"2021/12/30 14:59:59",12,11,1,"2021/12/17 5:00:00"
1,0,0,13,"2022/02/03 4:59:59",13,0,1,"2022/01/20 5:00:00"
0,14,0,14,"2022/02/28 14:59:59",14,13,1,"2022/02/03 5:00:00"
1,0,0,15,"2022/03/29 4:59:59",15,0,1,"2022/03/15 5:00:00"
0,14,0,16,"2022/04/28 14:59:59",16,15,1,"2022/03/29 5:00:00"
1,0,0,17,"2022/06/09 4:59:59",17,0,1,"2022/05/30 5:00:00"
1,0,0,18,"2022/09/30 4:59:59",18,0,1,"2022/09/13 5:00:00"
0,17,0,19,"2022/10/29 14:59:59",19,18,1,"2022/09/30 5:00:00"
1,0,0,20,"2022/12/11 4:59:59",20,0,1,"2022/12/04 5:00:00"
0,7,0,21,"2022/12/29 4:59:59",21,20,1,"2022/12/11 5:00:00"
1,0,0,22,"2023/02/02 4:59:59",22,0,1,"2023/01/20 5:00:00"
0,13,0,23,"2023/03/02 4:59:59",23,22,1,"2023/02/02 5:00:00"
1,0,0,24,"2023/03/30 4:59:59",24,0,1,"2023/03/16 5:00:00"
0,14,0,25,"2023/05/01 4:59:59",25,24,1,"2023/03/30 5:00:00"
1,0,0,26,"2023/06/09 4:59:59",26,0,1,"2023/05/30 5:00:00"
1,0,0,27,"2023/10/01 4:59:59",27,0,1,"2023/09/14 5:00:00"
1,0,0,28,"2023/12/01 4:59:59",28,0,1,"2023/11/24 5:00:00"
1,0,0,29,"2024/02/03 4:59:59",29,0,1,"2024/01/22 5:00:00"
1,0,0,30,"2024/03/28 4:59:59",30,0,1,"2024/03/14 5:00:00"
1,0,0,31,"2024/06/03 4:59:59",31,0,1,"2024/05/28 5:00:00"
1,0,0,32,"2024/09/28 4:59:59",32,0,1,"2024/09/11 5:00:00"
1,0,0,33,"2024/12/04 4:59:59",33,0,1,"2024/11/28 5:00:00"
1,0,0,34,"2025/01/29 4:59:59",34,0,2,"2025/01/16 5:00:00"
1,0,0,35,"2025/03/29 4:59:59",35,0,2,"2025/03/13 5:00:00"
1,0,0,36,"2025/05/30 4:59:59",36,0,2,"2025/05/25 5:00:00"
1,0,0,37,"2025/10/02 4:59:59",37,0,2,"2025/09/15 5:00:00"
