end_time,relation_count,freegacha_1,freegacha_10,relation_id,campaign_id,start_time,id,stock_10_flag
"2019/06/01 4:59:59",0,0,1,0,1,"2019/05/22 5:00:00",1,0
"2099/09/28 4:59:59",0,0,1,0,2,"2099/09/17 15:00:00",2,0
"2019/09/28 4:59:59",0,0,1,0,3,"2019/09/17 15:00:00",3,0
"2020/02/04 4:59:59",0,0,1,0,4,"2020/01/22 5:00:00",4,1
"2020/04/01 4:59:59",14,0,0,4,5,"2020/03/18 5:00:00",5,1
"2020/10/01 4:59:59",0,0,1,0,6,"2020/09/14 5:00:00",6,1
"2021/02/02 4:59:59",0,0,1,0,7,"2021/01/18 5:00:00",7,1
"2021/03/31 4:59:59",0,0,1,0,8,"2021/03/16 5:00:00",8,1
"2021/06/07 4:59:59",0,0,1,0,9,"2021/05/31 5:00:00",9,1
"2021/10/03 4:59:59",0,0,1,0,10,"2021/09/16 5:00:00",10,1
"2021/12/17 4:59:59",0,0,1,0,11,"2021/12/10 5:00:00",11,1
"2021/12/30 14:59:59",7,0,0,11,12,"2021/12/17 5:00:00",12,1
"2022/02/03 4:59:59",0,0,1,0,13,"2022/01/20 5:00:00",13,1
"2022/02/28 14:59:59",14,0,0,13,14,"2022/02/03 5:00:00",14,1
"2022/03/29 4:59:59",0,0,1,0,15,"2022/03/15 5:00:00",15,1
"2022/04/28 14:59:59",14,0,0,15,16,"2022/03/29 5:00:00",16,1
"2022/06/09 4:59:59",0,0,1,0,17,"2022/05/30 5:00:00",17,1
"2022/09/30 4:59:59",0,0,1,0,18,"2022/09/13 5:00:00",18,1
"2022/10/29 14:59:59",17,0,0,18,19,"2022/09/30 5:00:00",19,1
"2022/12/11 4:59:59",0,0,1,0,20,"2022/12/04 5:00:00",20,1
"2022/12/29 4:59:59",7,0,0,20,21,"2022/12/11 5:00:00",21,1
"2023/02/02 4:59:59",0,0,1,0,22,"2023/01/20 5:00:00",22,1
"2023/03/02 4:59:59",13,0,0,22,23,"2023/02/02 5:00:00",23,1
"2023/03/30 4:59:59",0,0,1,0,24,"2023/03/16 5:00:00",24,1
"2023/05/01 4:59:59",14,0,0,24,25,"2023/03/30 5:00:00",25,1
"2023/06/09 4:59:59",0,0,1,0,26,"2023/05/30 5:00:00",26,1
"2023/10/01 4:59:59",0,0,1,0,27,"2023/09/14 5:00:00",27,1
"2023/12/01 4:59:59",0,0,1,0,28,"2023/11/24 5:00:00",28,1
"2024/02/03 4:59:59",0,0,1,0,29,"2024/01/22 5:00:00",29,1
"2024/03/28 4:59:59",0,0,1,0,30,"2024/03/14 5:00:00",30,1
"2024/06/03 4:59:59",0,0,1,0,31,"2024/05/28 5:00:00",31,1
"2024/09/28 4:59:59",0,0,1,0,32,"2024/09/11 5:00:00",32,1
"2024/12/04 4:59:59",0,0,1,0,33,"2024/11/28 5:00:00",33,1
"2025/01/29 4:59:59",0,0,1,0,34,"2025/01/16 5:00:00",34,2
"2025/03/29 4:59:59",0,0,1,0,35,"2025/03/13 5:00:00",35,2
"2025/05/30 4:59:59",0,0,1,0,36,"2025/05/25 5:00:00",36,2
"2025/10/02 4:59:59",0,0,1,0,37,"2025/09/15 5:00:00",37,2
