banner_id_7,banner_id_9,banner_id_10,banner_id_6,banner_id_2,banner_id_1,banner_id_5,gacha_id,banner_id_4,banner_id_3,banner_id_8
0,0,0,0,10002,10001,0,50018,0,10003,0
0,0,0,0,10002,10001,0,50023,0,10003,0
0,0,0,0,10002,10001,0,50027,0,10003,0
0,0,0,0,10002,10001,0,50033,0,10003,0
0,0,0,0,10002,10001,0,50047,0,10003,0
0,0,0,0,10002,10001,0,50051,0,10003,0
0,0,0,0,10002,10001,0,50061,10004,10003,0
0,0,0,0,10002,10001,0,50067,10005,10003,0
0,0,0,0,10002,10001,10006,50079,10005,10003,0
0,0,0,10007,10002,10001,10006,50084,10005,10003,0
10008,0,0,10007,10002,10001,10006,50094,10005,10003,0
10008,0,0,10007,10002,10001,10006,50108,10005,10003,10009
10008,0,0,10007,10002,10001,10006,50116,10005,10003,10009
10008,10010,0,10007,10002,10001,10006,50119,10005,10003,10009
10008,10010,0,10007,10002,10001,10006,50129,10005,10003,10009
10008,10010,10011,10007,10002,10001,10006,50140,10005,10003,10009
10009,10011,10012,10008,10003,10002,10007,50151,10006,10005,10010
0,0,0,0,10010,10009,10013,50162,10012,10011,0
0,0,0,0,10011,10010,10014,50172,10013,10012,0
0,0,0,0,10012,10011,10015,50183,10014,10013,0
0,0,0,0,10014,10013,10005,50190,10007,10015,0
0,0,0,0,10013,10012,10016,50195,10015,10014,0
0,0,0,0,10015,10014,10002,50200,10003,10016,0
0,0,0,0,10014,10013,10017,50217,10016,10015,0
0,0,0,0,10016,10015,10009,50231,10010,10017,0
0,0,0,0,10015,10014,10018,50237,10017,10016,0
0,0,0,0,0,10019,0,50248,0,0,0
0,0,0,0,0,10011,0,50261,0,0,0
0,0,0,0,0,10020,0,50267,0,0,0
0,0,0,0,0,10021,0,50278,0,0,0
0,0,0,0,0,10006,0,50291,0,0,0
0,0,0,0,0,10022,0,50298,0,0,0
0,0,0,0,0,10023,0,50309,0,0,0
0,0,0,0,0,10024,0,50321,0,0,0
0,0,0,0,0,10025,0,50331,0,0,0
0,0,0,0,0,10026,0,50341,0,0,0
0,0,0,0,0,10027,0,50354,0,0,0
0,0,0,0,0,10028,0,50365,0,0,0
