banner_id_7,banner_id_1,banner_id_2,gacha_id,banner_id_9,banner_id_4,banner_id_8,banner_id_6,banner_id_5,banner_id_3,banner_id_10
0,10001,10002,50018,0,0,0,0,0,10003,0
0,10001,10002,50023,0,0,0,0,0,10003,0
0,10001,10002,50027,0,0,0,0,0,10003,0
0,10001,10002,50033,0,0,0,0,0,10003,0
0,10001,10002,50047,0,0,0,0,0,10003,0
0,10001,10002,50051,0,0,0,0,0,10003,0
0,10001,10002,50061,0,10004,0,0,0,10003,0
0,10001,10002,50067,0,10005,0,0,0,10003,0
0,10001,10002,50079,0,10005,0,0,10006,10003,0
0,10001,10002,50084,0,10005,0,10007,10006,10003,0
10008,10001,10002,50094,0,10005,0,10007,10006,10003,0
10008,10001,10002,50108,0,10005,10009,10007,10006,10003,0
10008,10001,10002,50116,0,10005,10009,10007,10006,10003,0
10008,10001,10002,50119,10010,10005,10009,10007,10006,10003,0
10008,10001,10002,50129,10010,10005,10009,10007,10006,10003,0
10008,10001,10002,50140,10010,10005,10009,10007,10006,10003,10011
10009,10002,10003,50151,10011,10006,10010,10008,10007,10005,10012
0,10009,10010,50162,0,10012,0,0,10013,10011,0
0,10010,10011,50172,0,10013,0,0,10014,10012,0
0,10011,10012,50183,0,10014,0,0,10015,10013,0
0,10013,10014,50190,0,10007,0,0,10005,10015,0
0,10012,10013,50195,0,10015,0,0,10016,10014,0
0,10014,10015,50200,0,10003,0,0,10002,10016,0
0,10013,10014,50217,0,10016,0,0,10017,10015,0
0,10015,10016,50231,0,10010,0,0,10009,10017,0
0,10014,10015,50237,0,10017,0,0,10018,10016,0
0,10019,0,50248,0,0,0,0,0,0,0
0,10011,0,50261,0,0,0,0,0,0,0
0,10020,0,50267,0,0,0,0,0,0,0
0,10021,0,50278,0,0,0,0,0,0,0
0,10006,0,50291,0,0,0,0,0,0,0
0,10022,0,50298,0,0,0,0,0,0,0
0,10023,0,50309,0,0,0,0,0,0,0
0,10024,0,50321,0,0,0,0,0,0,0
0,10025,0,50331,0,0,0,0,0,0,0
0,10026,0,50341,0,0,0,0,0,0,0
0,10027,0,50354,0,0,0,0,0,0,0
0,10028,0,50365,0,0,0,0,0,0,0
