read_condition_time,condition_boss_id,title,read_condition,original_event_id,condition_quest_id,sub_story_id
0,0,"그림일기 1",0,10070,20039101,1007001
0,0,"그림일기 2",1007001,10070,20039101,1007002
0,0,"그림일기 3",1007002,10070,20039103,1007003
0,0,"그림일기 4",1007003,10070,20039106,1007004
0,0,"그림일기 5",1007004,10070,20039107,1007005
0,0,"그림일기 6",1007005,10070,20039110,1007006
0,0,"그림일기 7",1007006,10070,20039112,1007007
0,2003901,"그림일기 8",1007007,10070,0,1007008
0,2003901,"에리코의 그림일기",1007007,10070,0,1007009
0,2003901,"시즈루의 그림일기",1007007,10070,0,1007010
"2022/08/12 15:00:00",0,"그림일기 1(첨삭)",0,10070,20039101,1007011
"2022/08/12 15:00:00",0,"그림일기 2(첨삭)",0,10070,20039101,1007012
"2022/08/12 15:00:00",0,"그림일기 3(첨삭)",0,10070,20039103,1007013
"2022/08/12 15:00:00",0,"그림일기 4(첨삭)",0,10070,20039106,1007014
"2022/08/12 15:00:00",0,"그림일기 5(첨삭)",0,10070,20039107,1007015
"2022/08/12 15:00:00",0,"그림일기 6(첨삭)",0,10070,20039110,1007016
"2022/08/12 15:00:00",0,"그림일기 7(첨삭)",0,10070,20039112,1007017
"2022/08/12 15:00:00",2003901,"그림일기 8(첨삭)",0,10070,0,1007018
"2022/08/12 15:00:00",2003901,"에리코의 그림일기(첨삭)",0,10070,0,1007019
"2022/08/12 15:00:00",2003901,"시즈루의 그림일기(첨삭)",0,10070,0,1007020
